kinase_id,HGNC_symbol,HGNC_ID,Name_hgnc,Is_phosphatase,Is_kinase_regulator,Is_anchoring_protein,Is_pseudokinase,Substrate_protein,Substrate_lipid,Substrate_nucleotide,Substrate_carbohydrate,Substrate_other,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,kinase_id_manning,manning_name,Group_manning,Family_manning,SubFamily_manning,Pseudogene_manning,Novelty_manning,InManning,Group_kinhub,Family_kinhub,SubFamily_kinhub,UniProt_kinhub,InKinHub,Group_match_manning_kinhub,Family_match_manning_kinhub,Group_consensus,Family_consensus,Metabolic_kegg,Lipid_kegg,Mouse_Symbol,Ensembl_Mouse
K0087,CDK19,HGNC:19338,cyclin dependent kinase 19,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK443,,CMGC,CDK,CDK8,N,Known - Genbank,Y,CMGC,CDK,CDK8,Q9BWU1,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk19,ENSMUSG00000038481
K0088,CDK2,HGNC:1771,cyclin dependent kinase 2,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK067,CDK2,CMGC,CDK,CDC2,N,Known - Refseq,Y,CMGC,CDK,CDK2,P24941,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk2,ENSMUSG00000025358
K0089,CDK20,HGNC:21420,cyclin dependent kinase 20,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK483,,CMGC,CDK,"",N,Known - Refseq,Y,CMGC,CDK,"",Q8IZL9,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk20,ENSMUSG00000021483
K0090,CDK3,HGNC:1772,cyclin dependent kinase 3,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK068,CDK3,CMGC,CDK,CDC2,N,Known - Refseq,Y,CMGC,CDK,CDK2,Q00526,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk3,ENSMUSG00000092300
K0091,CDK4,HGNC:1773,cyclin dependent kinase 4,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK069,CDK4,CMGC,CDK,CDK4,N,Known - Refseq,Y,CMGC,CDK,CDK4,P11802,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk4,ENSMUSG00000006728
K0092,CDK5,HGNC:1774,cyclin dependent kinase 5,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK070,CDK5,CMGC,CDK,CDK5,N,Known - Refseq,Y,CMGC,CDK,CDK5,Q00535,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk5,ENSMUSG00000028969
K0093,CDK6,HGNC:1777,cyclin dependent kinase 6,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK071,CDK6,CMGC,CDK,CDK4,N,Known - Refseq,Y,CMGC,CDK,CDK4,Q00534,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk6,ENSMUSG00000040274
K0094,CDK7,HGNC:1778,cyclin dependent kinase 7,N,N,N,N,Y,N,N,N,N,CDK activating kinase complex,1744,Approved,gene with protein product,SK055,CDK7,CMGC,CDK,CDK7,N,Known - Refseq,Y,CMGC,CDK,CDK7,P50613,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk7,ENSMUSG00000069089
K0095,CDK8,HGNC:1779,cyclin dependent kinase 8,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK072,CDK8,CMGC,CDK,CDK8,N,Known - Refseq,Y,CMGC,CDK,CDK8,P49336,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk8,ENSMUSG00000029635
K0096,CDK9,HGNC:1780,cyclin dependent kinase 9,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK295,CDK9,CMGC,CDK,CDK9,N,Known - Refseq,Y,CMGC,CDK,CDK9,P50750,Y,TRUE,TRUE,CMGC,CDK,N,N,Cdk9,ENSMUSG00000009555
K0097,CDKL1,HGNC:1781,cyclin dependent kinase like 1,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK203,CDKL1,CMGC,CDKL,"",N,Known - Refseq,Y,CMGC,CDKL,"",Q00532,Y,TRUE,TRUE,CMGC,CDKL,N,N,Cdkl1,ENSMUSG00000020990
K0098,CDKL2,HGNC:1782,cyclin dependent kinase like 2,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK202,CDKL2,CMGC,CDKL,"",N,Known - Refseq,Y,CMGC,CDKL,"",Q92772,Y,TRUE,TRUE,CMGC,CDKL,N,N,Cdkl2,ENSMUSG00000029403
K0099,CDKL3,HGNC:15483,cyclin dependent kinase like 3,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK509,CDKL3,CMGC,CDKL,"",N,Known - Refseq,Y,CMGC,CDKL,"",Q8IVW4,Y,TRUE,TRUE,CMGC,CDKL,N,N,Cdkl3,ENSMUSG00000020389
K0100,CDKL4,HGNC:19287,cyclin dependent kinase like 4,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK466,CDKL4,CMGC,CDKL,"",N,Novel,Y,CMGC,CDKL,"",Q5MAI5,Y,TRUE,TRUE,CMGC,CDKL,N,N,Cdkl4,ENSMUSG00000033966
K0101,CDKL5,HGNC:11411,cyclin dependent kinase like 5,N,N,N,N,Y,N,N,N,N,Cyclin dependent kinases,496,Approved,gene with protein product,SK361,CDKL5,CMGC,CDKL,"",N,Known - Refseq,Y,CMGC,CDKL,"",O76039,Y,TRUE,TRUE,CMGC,CDKL,N,N,Cdkl5,ENSMUSG00000031292
K0102,CHEK1,HGNC:1925,checkpoint kinase 1,N,N,N,N,Y,N,N,N,N,Checkpoint kinase 1 family,3452,Approved,gene with protein product,SK078,,CAMK,CAMKL,CHK1,N,Known - Literature,Y,CAMK,CAMKL,CHK1,O14757,Y,TRUE,TRUE,CAMK,CAMKL,N,N,Chek1,ENSMUSG00000032113
K0103,CHEK2,HGNC:16627,checkpoint kinase 2,N,N,N,N,Y,N,N,N,N,Checkpoint kinase 2 family,3543,Approved,gene with protein product,SK079,,CAMK,RAD53,"",N,Known - Refseq,Y,CAMK,RAD53,"",O96017,Y,TRUE,TRUE,CAMK,RAD53,N,N,Chek2,ENSMUSG00000029521
K0104,CHKA,HGNC:1937,choline kinase alpha,N,N,N,N,N,Y,N,N,N,Choline kinase family,3533,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Choline kinase family,Choline kinase family,Y,Y,Chka,ENSMUSG00000024843
K0105,CHKB,HGNC:1938,choline kinase beta,N,N,N,N,N,Y,N,N,N,Choline kinase family,3533,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Choline kinase family,Choline kinase family,Y,Y,Chkb,ENSMUSG00000022617
K0106,CHUK,HGNC:1974,component of inhibitor of nuclear factor kappa B kinase complex,N,N,N,N,Y,N,N,N,N,I kappa B kinases,1802,Approved,gene with protein product,SK175,,Other,IKK,"",N,Known - Refseq,Y,Other,IKK,"",O15111,Y,TRUE,TRUE,Other,IKK,N,Y,Chuk,ENSMUSG00000025199
K0107,CILK1,HGNC:21219,ciliogenesis associated kinase 1,N,N,N,N,Y,N,N,N,N,"CILK1, MAK, MOK protein kinase family",3482,Approved,gene with protein product,,,,,,,,N,,,,,N,,,"CILK1, MAK, MOK protein kinase family","CILK1, MAK, MOK protein kinase family",N,N,Cilk1,ENSMUSG00000009828
K0108,CIT,HGNC:1985,citron rho-interacting serine/threonine kinase,N,N,N,N,Y,N,N,N,N,DMPK kinase family,3489,Approved,gene with protein product,SK695,,AGC,DMPK,"",N,Known - Swiss-Prot,Y,AGC,DMPK,"",O14578,Y,TRUE,TRUE,AGC,DMPK,N,N,Cit,ENSMUSG00000029516
K0109,CKB,HGNC:1991,creatine kinase B,N,N,N,N,N,N,N,Y,N,Creatine kinase family,3534,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Creatine kinase family,Creatine kinase family,Y,N,Ckb,ENSMUSG00000001270
K0110,CKM,HGNC:1994,"creatine kinase, M-type",N,N,N,N,N,N,N,Y,N,Creatine kinase family,3534,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Creatine kinase family,Creatine kinase family,Y,N,Ckm,ENSMUSG00000030399
K0111,CKMT1A,HGNC:31736,"creatine kinase, mitochondrial 1A",N,N,N,N,N,N,N,Y,N,Creatine kinase family,3534,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Creatine kinase family,Creatine kinase family,Y,N,Ckmt1,ENSMUSG00000000308
K0112,CKMT1B,HGNC:1995,"creatine kinase, mitochondrial 1B",N,N,N,N,N,N,N,Y,N,Creatine kinase family,3534,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Creatine kinase family,Creatine kinase family,Y,N,Ckmt1,ENSMUSG00000000308
K0113,CKMT2,HGNC:1996,"creatine kinase, mitochondrial 2",N,N,N,N,N,N,N,Y,N,Creatine kinase family,3534,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Creatine kinase family,Creatine kinase family,Y,N,Ckmt2,ENSMUSG00000021622
K0114,CLK1,HGNC:2068,CDC like kinase 1,N,N,N,N,Y,N,N,N,N,CDC like kinases,480,Approved,gene with protein product,SK090,CLK1,CMGC,CLK,"",N,Known - Refseq,Y,CMGC,CLK,"",P49759,Y,TRUE,TRUE,CMGC,CLK,N,N,Clk1,ENSMUSG00000026034
K0115,CLK2,HGNC:2069,CDC like kinase 2,N,N,N,N,Y,N,N,N,N,CDC like kinases,480,Approved,gene with protein product,SK091,CLK2,CMGC,CLK,"",N,Known - Refseq,Y,CMGC,CLK,"",P49760,Y,TRUE,TRUE,CMGC,CLK,N,N,Clk2,ENSMUSG00000068917
K0116,CLK3,HGNC:2071,CDC like kinase 3,N,N,N,N,Y,N,N,N,N,CDC like kinases,480,Approved,gene with protein product,SK092,CLK3,CMGC,CLK,"",N,Known - Refseq,Y,CMGC,CLK,"",P49761,Y,TRUE,TRUE,CMGC,CLK,N,N,Clk3,ENSMUSG00000032316
K0117,CLK4,HGNC:13659,CDC like kinase 4,N,N,N,N,Y,N,N,N,N,CDC like kinases,480,Approved,gene with protein product,SK484,CLK4,CMGC,CLK,"",N,Known - Refseq,Y,CMGC,CLK,"",Q9HAZ1,Y,TRUE,TRUE,CMGC,CLK,N,N,Clk4,ENSMUSG00000020385
K0118,CMYA5,HGNC:14305,cardiomyopathy associated 5,N,N,Y,N,N,N,N,N,N,A-kinase anchoring proteins,396,Approved,gene with protein product,,,,,,,,N,,,,,N,,,A-kinase anchoring proteins,A-kinase anchoring proteins,N,N,Cmya5,ENSMUSG00000047419
K0119,CSF1R,HGNC:2433,colony stimulating factor 1 receptor,N,N,N,N,Y,N,N,N,N,Receptor tyrosine kinases,321,Approved,gene with protein product,SK094,,TK,PDGFR,"",N,Known - Literature,Y,TK,PDGFR,"",P07333,Y,TRUE,TRUE,TK,PDGFR,N,N,Csf1r,ENSMUSG00000024621
K0120,CSK,HGNC:2444,C-terminal Src kinase,N,N,N,N,Y,N,N,N,N,Csk family tyrosine kinases,1460,Approved,gene with protein product,SK095,CSK,TK,Csk,"",N,Known - Literature,Y,TK,Csk,"",P41240,Y,TRUE,TRUE,TK,Csk,N,N,Csk,ENSMUSG00000032312
K0121,CSNK1A1,HGNC:2451,casein kinase 1 alpha 1,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK082,,CK1,CK1,"",N,Known - Refseq,Y,CK1,CK1,"",P48729,Y,TRUE,TRUE,CK1,CK1,N,N,Csnk1a1,ENSMUSG00000024576
K0122,CSNK1A1L,HGNC:20289,casein kinase 1 alpha 1 like,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK541,,CK1,CK1,"",N,Novel? - only annotated as similar to CK1,Y,CK1,CK1,"",Q8N752,Y,TRUE,TRUE,CK1,CK1,N,N,,
K0123,CSNK1D,HGNC:2452,casein kinase 1 delta,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK083,,CK1,CK1,"",N,Known - Refseq,Y,CK1,CK1,"",P48730,Y,TRUE,TRUE,CK1,CK1,N,N,Csnk1d,ENSMUSG00000025162
K0124,CSNK1E,HGNC:2453,casein kinase 1 epsilon,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK084,,CK1,CK1,"",N,Known - Refseq,Y,CK1,CK1,"",P49674,Y,TRUE,TRUE,CK1,CK1,N,N,Csnk1e,ENSMUSG00000022433
K0125,CSNK1G1,HGNC:2454,casein kinase 1 gamma 1,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK647,,CK1,CK1,"",N,Known - Refseq,Y,CK1,CK1,"",Q9HCP0,Y,TRUE,TRUE,CK1,CK1,N,N,Csnk1g1,ENSMUSG00000032384
K0126,CSNK1G2,HGNC:2455,casein kinase 1 gamma 2,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK086,,CK1,CK1,"",N,Known - Refseq,Y,CK1,CK1,"",P78368,Y,TRUE,TRUE,CK1,CK1,N,N,Csnk1g2,ENSMUSG00000003345
K0127,CSNK1G3,HGNC:2456,casein kinase 1 gamma 3,N,N,N,N,Y,N,N,N,N,Casein kinase 1 family,1330,Approved,gene with protein product,SK087,,CK1,CK1,"",N,Known - Refseq,Y,CK1,CK1,"",Q9Y6M4,Y,TRUE,TRUE,CK1,CK1,N,N,Csnk1g3,ENSMUSG00000073563
K0128,DAPK1,HGNC:2674,death associated protein kinase 1,N,N,N,N,Y,N,N,N,N,Death associated protein kinases,1021,Approved,gene with protein product,SK103,DAPK1,CAMK,DAPK,"",N,Known - Refseq,Y,CAMK,DAPK,"",P53355,Y,TRUE,TRUE,CAMK,DAPK,N,N,Dapk1,ENSMUSG00000021559
K0129,DAPK2,HGNC:2675,death associated protein kinase 2,N,N,N,N,Y,N,N,N,N,Death associated protein kinases,1021,Approved,gene with protein product,SK104,DAPK2,CAMK,DAPK,"",N,Known - Refseq,Y,CAMK,DAPK,"",Q9UIK4,Y,TRUE,TRUE,CAMK,DAPK,N,N,Dapk2,ENSMUSG00000032380
K0130,DAPK3,HGNC:2676,death associated protein kinase 3,N,N,N,N,Y,N,N,N,N,Death associated protein kinases,1021,Approved,gene with protein product,SK716,DAPK3,CAMK,DAPK,"",N,Known - Refseq,Y,CAMK,DAPK,"",O43293,Y,TRUE,TRUE,CAMK,DAPK,N,N,Dapk3,ENSMUSG00000034974
K0131,DCK,HGNC:2704,deoxycytidine kinase,N,N,N,N,N,N,Y,N,N,Deoxyribonucleoside kinases,1699,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Deoxyribonucleoside kinases,Deoxyribonucleoside kinases,Y,N,Dck,ENSMUSG00000029366
K0132,DCLK1,HGNC:2700,doublecortin like kinase 1,N,N,N,N,Y,N,N,N,N,Doublecortin like kinase family,3447,Approved,gene with protein product,SK063,,CAMK,DCAMKL,"",N,Known - Refseq,Y,CAMK,DCAMKL,"",O15075,Y,TRUE,TRUE,CAMK,DCAMKL,N,N,Dclk1,ENSMUSG00000027797
K0133,DCLK2,HGNC:19002,doublecortin like kinase 2,N,N,N,N,Y,N,N,N,N,Doublecortin like kinase family,3447,Approved,gene with protein product,SK527,,CAMK,DCAMKL,"",N,Novel?-  Autoannotated genomic prediction only,Y,CAMK,DCAMKL,"",Q8N568,Y,TRUE,TRUE,CAMK,DCAMKL,N,N,Dclk2,ENSMUSG00000028078
K0134,DCLK3,HGNC:19005,doublecortin like kinase 3,N,N,N,N,Y,N,N,N,N,Doublecortin like kinase family,3447,Approved,gene with protein product,SK459,,CAMK,DCAMKL,"",N,Novel,Y,CAMK,DCAMKL,"",Q9C098,Y,TRUE,TRUE,CAMK,DCAMKL,N,N,Dclk3,ENSMUSG00000032500
K0135,DDR1,HGNC:2730,discoidin domain receptor tyrosine kinase 1,N,N,N,N,Y,N,N,N,N,Receptor tyrosine kinases,321,Approved,gene with protein product,SK400,DDR1,TK,DDR,"",N,Known - Refseq,Y,TK,DDR,"",Q08345,Y,TRUE,TRUE,TK,DDR,N,N,Ddr1,ENSMUSG00000003534
K0136,DDR2,HGNC:2731,discoidin domain receptor tyrosine kinase 2,N,N,N,N,Y,N,N,N,N,Receptor tyrosine kinases,321,Approved,gene with protein product,SK410,DDR2,TK,DDR,"",N,Known - Refseq,Y,TK,DDR,"",Q16832,Y,TRUE,TRUE,TK,DDR,N,N,Ddr2,ENSMUSG00000026674
K0137,DGKA,HGNC:2849,diacylglycerol kinase alpha,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgka,ENSMUSG00000025357
K0138,DGKB,HGNC:2850,diacylglycerol kinase beta,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkb,ENSMUSG00000036095
K0139,DGKD,HGNC:2851,diacylglycerol kinase delta,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkd,ENSMUSG00000070738
K0140,DGKE,HGNC:2852,diacylglycerol kinase epsilon,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgke,ENSMUSG00000000276
K0141,DGKG,HGNC:2853,diacylglycerol kinase gamma,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkg,ENSMUSG00000022861
K0142,DGKH,HGNC:2854,diacylglycerol kinase eta,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkh,ENSMUSG00000034731
K0143,DGKI,HGNC:2855,diacylglycerol kinase iota,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgki,ENSMUSG00000038665
K0144,DGKK,HGNC:32395,diacylglycerol kinase kappa,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkk,ENSMUSG00000062393
K0145,DGKQ,HGNC:2856,diacylglycerol kinase theta,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkq,ENSMUSG00000004815
K0146,DGKZ,HGNC:2857,diacylglycerol kinase zeta,N,N,N,N,N,Y,N,N,N,Diacylglycerol kinases,1178,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Diacylglycerol kinases,Diacylglycerol kinases,Y,Y,Dgkz,ENSMUSG00000040479
K0147,DGUOK,HGNC:2858,deoxyguanosine kinase,N,N,N,N,N,N,Y,N,N,Deoxyribonucleoside kinases,1699,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Deoxyribonucleoside kinases,Deoxyribonucleoside kinases,Y,N,Dguok,ENSMUSG00000014554
K0148,DIPK1A,HGNC:32213,divergent protein kinase domain 1A,N,N,N,N,Y,N,N,N,N,Divergent protein kinase domain family,1622,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Divergent protein kinase domain family,Divergent protein kinase domain family,N,N,Dipk1a,ENSMUSG00000029270
K0149,DIPK1B,HGNC:28290,divergent protein kinase domain 1B,N,N,N,N,Y,N,N,N,N,Divergent protein kinase domain family,1622,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Divergent protein kinase domain family,Divergent protein kinase domain family,N,N,Dipk1b,ENSMUSG00000036186
K0150,DIPK1C,HGNC:31729,divergent protein kinase domain 1C,N,N,N,N,Y,N,N,N,N,Divergent protein kinase domain family,1622,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Divergent protein kinase domain family,Divergent protein kinase domain family,N,N,Dipk1c,ENSMUSG00000047992
K0151,DIPK2A,HGNC:28490,divergent protein kinase domain 2A,N,N,N,N,Y,N,N,N,N,Divergent protein kinase domain family,1622,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Divergent protein kinase domain family,Divergent protein kinase domain family,N,N,Dipk2a,ENSMUSG00000045414
K0152,DIPK2B,HGNC:25866,divergent protein kinase domain 2B,N,N,N,N,Y,N,N,N,N,Divergent protein kinase domain family,1622,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Divergent protein kinase domain family,Divergent protein kinase domain family,N,N,Dipk2b,ENSMUSG00000037358
K0153,DLG1,HGNC:2900,discs large MAGUK scaffold protein 1,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Dlg1,ENSMUSG00000022770
K0154,DLG2,HGNC:2901,discs large MAGUK scaffold protein 2,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Dlg2,ENSMUSG00000052572
K0155,DLG3,HGNC:2902,discs large MAGUK scaffold protein 3,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Dlg3,ENSMUSG00000000881
K0156,DLG4,HGNC:2903,discs large MAGUK scaffold protein 4,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Dlg4,ENSMUSG00000020886
K0157,DLG5,HGNC:2904,discs large MAGUK scaffold protein 5,N,N,N,Y,N,N,N,N,N,Membrane associated guanylate kinases,904,Approved,gene with protein product,,,,,,,,N,,,,,N,,,Membrane associated guanylate kinases,Membrane associated guanylate kinases,N,N,Dlg5,ENSMUSG00000021782
K0158,DMPK,HGNC:2933,DM1 protein kinase,N,N,N,N,Y,N,N,N,N,DMPK kinase family,3489,Approved,gene with protein product,SK111,,AGC,DMPK,GEK,N,Known - Literature,Y,AGC,DMPK,GEK,Q09013,Y,TRUE,TRUE,AGC,DMPK,N,N,Dmpk,ENSMUSG00000030409
K0159,DUSP1,HGNC:3064,dual specificity phosphatase 1,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp1,ENSMUSG00000024190
K0160,DUSP10,HGNC:3065,dual specificity phosphatase 10,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp10,ENSMUSG00000039384
K0161,DUSP16,HGNC:17909,dual specificity phosphatase 16,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp16,ENSMUSG00000030203
K0162,DUSP2,HGNC:3068,dual specificity phosphatase 2,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp2,ENSMUSG00000027368
K0163,DUSP4,HGNC:3070,dual specificity phosphatase 4,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp4,ENSMUSG00000031530
K0164,DUSP5,HGNC:3071,dual specificity phosphatase 5,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp5,ENSMUSG00000034765
K0165,DUSP6,HGNC:3072,dual specificity phosphatase 6,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp6,ENSMUSG00000019960
K0166,DUSP7,HGNC:3073,dual specificity phosphatase 7,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp7,ENSMUSG00000053716
K0167,DUSP8,HGNC:3074,dual specificity phosphatase 8,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp8,ENSMUSG00000037887
K0168,DUSP9,HGNC:3076,dual specificity phosphatase 9,Y,N,N,N,N,N,N,N,N,MAP kinase phosphatases,895,Approved,gene with protein product,,,,,,,,N,,,,,N,,,MAP kinase phosphatases,MAP kinase phosphatases,N,N,Dusp9,ENSMUSG00000031383
K0169,DYRK1A,HGNC:3091,dual specificity tyrosine phosphorylation regulated kinase 1A,N,N,N,N,Y,N,N,N,N,Dual-specificity tyrosine-regulated kinase family,3521,Approved,gene with protein product,SK234,DYRK1A,CMGC,DYRK,Dyrk1,N,Known - Literature,Y,CMGC,DYRK,DYRK1,Q13627,Y,TRUE,TRUE,CMGC,DYRK,N,N,Dyrk1a,ENSMUSG00000022897
K0170,DYRK1B,HGNC:3092,dual specificity tyrosine phosphorylation regulated kinase 1B,N,N,N,N,Y,N,N,N,N,Dual-specificity tyrosine-regulated kinase family,3521,Approved,gene with protein product,SK114,DYRK1B,CMGC,DYRK,Dyrk1,N,Known - Refseq,Y,CMGC,DYRK,DYRK1,Q9Y463,Y,TRUE,TRUE,CMGC,DYRK,N,N,Dyrk1b,ENSMUSG00000002409
K0171,DYRK2,HGNC:3093,dual specificity tyrosine phosphorylation regulated kinase 2,N,N,N,N,Y,N,N,N,N,Dual-specificity tyrosine-regulated kinase family,3521,Approved,gene with protein product,SK115,DYRK2,CMGC,DYRK,Dyrk2,N,Known - Refseq,Y,CMGC,DYRK,DYRK2,Q92630,Y,TRUE,TRUE,CMGC,DYRK,N,N,Dyrk2,ENSMUSG00000028630
K0172,DYRK3,HGNC:3094,dual specificity tyrosine phosphorylation regulated kinase 3,N,N,N,N,Y,N,N,N,N,Dual-specificity tyrosine-regulated kinase family,3521,Approved,gene with protein product,SK488,DYRK3,CMGC,DYRK,Dyrk2,N,Known - Refseq,Y,CMGC,DYRK,DYRK2,O43781,Y,TRUE,TRUE,CMGC,DYRK,N,N,Dyrk3,ENSMUSG00000016526
