ensembl_gene_id,external_gene_name,description,mgi_id,go_id
ENSMUSG00000029635,Cdk8,cyclin dependent kinase 8,1196224,GO:0000151;GO:0000166;GO:0000307;GO:0004672;GO:0004674;GO:0004693;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0006468;GO:0008353;GO:0016301;GO:0016567;GO:0016592;GO:0016740;GO:0032991;GO:0045944;GO:0051726;GO:0061630;GO:0090209;GO:0106310;GO:1990508
ENSMUSG00000009555,Cdk9,cyclin dependent kinase 9,1328368,GO:0000166;GO:0000976;GO:0000978;GO:0001223;GO:0003677;GO:0003682;GO:0003711;GO:0004672;GO:0004674;GO:0004693;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0006281;GO:0006282;GO:0006366;GO:0006368;GO:0006468;GO:0006974;GO:0008023;GO:0008024;GO:0008353;GO:0016301;GO:0016605;GO:0016740;GO:0017069;GO:0019901;GO:0031297;GO:0031440;GO:0032968;GO:0034244;GO:0036464;GO:0043923;GO:0045944;GO:0051147;GO:0051647;GO:0051726;GO:0070691;GO:0071345;GO:0097322;GO:0106310;GO:0120186;GO:0120187;GO:0140673;GO:0160239
ENSMUSG00000020990,Cdkl1,cyclin dependent kinase like 1,1918341,GO:0000166;GO:0004672;GO:0004674;GO:0004693;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0006468;GO:0007507;GO:0016301;GO:0016740;GO:0035869;GO:0051726;GO:0106310;GO:1902017
ENSMUSG00000029403,Cdkl2,cyclin dependent kinase like 2,1858227,GO:0000166;GO:0004672;GO:0004674;GO:0004693;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005813;GO:0006468;GO:0016301;GO:0016740;GO:0051726;GO:0106310
ENSMUSG00000020389,Cdkl3,cyclin dependent kinase like 3,2388268,GO:0000165;GO:0000166;GO:0001784;GO:0004672;GO:0004674;GO:0004693;GO:0004707;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005769;GO:0005770;GO:0005794;GO:0005901;GO:0005925;GO:0006468;GO:0016301;GO:0016740;GO:0030517;GO:0031143;GO:0031663;GO:0032872;GO:0042473;GO:0043330;GO:0050775;GO:0051493;GO:0051726;GO:0060020;GO:0061308;GO:0070161;GO:0072584;GO:0090170;GO:0097484;GO:0106310;GO:2000641
ENSMUSG00000033966,Cdkl4,cyclin dependent kinase like 4,3587025,GO:0000166;GO:0004672;GO:0004674;GO:0004693;GO:0005524;GO:0005634;GO:0005737;GO:0006468;GO:0016301;GO:0016740;GO:0051726;GO:0106310
ENSMUSG00000031292,Cdkl5,cyclin dependent kinase like 5,1278336,GO:0000166;GO:0004672;GO:0004674;GO:0004693;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005813;GO:0005856;GO:0006468;GO:0016301;GO:0016740;GO:0032839;GO:0034504;GO:0036064;GO:0042995;GO:0045773;GO:0050773;GO:0050804;GO:0051726;GO:0097542;GO:0098978;GO:0099175;GO:0106310;GO:1902017
ENSMUSG00000035891,Cerk,ceramide kinase,2386052,GO:0000166;GO:0000287;GO:0001729;GO:0005524;GO:0005737;GO:0005739;GO:0005886;GO:0006629;GO:0006672;GO:0016020;GO:0016301;GO:0016740
ENSMUSG00000075256,Cerkl,ceramide kinase-like,3037816,GO:0001727;GO:0001750;GO:0001917;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0006665;GO:0016020;GO:0016301;GO:0030148;GO:0046625;GO:0048471
ENSMUSG00000021669,Cert1,ceramide transporter 1,1915268,GO:0000902;GO:0001701;GO:0003007;GO:0005654;GO:0005737;GO:0005739;GO:0005783;GO:0005794;GO:0005829;GO:0006672;GO:0006869;GO:0006936;GO:0007005;GO:0007029;GO:0007165;GO:0008283;GO:0008289;GO:0016020;GO:0016301;GO:0034976;GO:0035621;GO:0048471;GO:0055088;GO:0097001;GO:0120012;GO:0120017
ENSMUSG00000032113,Chek1,checkpoint kinase 1,1202065,GO:0000077;GO:0000086;GO:0000166;GO:0000781;GO:0000785;GO:0000794;GO:0001833;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005657;GO:0005694;GO:0005737;GO:0005813;GO:0005856;GO:0006281;GO:0006338;GO:0006468;GO:0006915;GO:0006974;GO:0006997;GO:0006998;GO:0007077;GO:0007095;GO:0010468;GO:0010569;GO:0010971;GO:0016301;GO:0016740;GO:0018107;GO:0019904;GO:0032991;GO:0035402;GO:0042127;GO:0042770;GO:0044818;GO:0045787;GO:0045814;GO:0045839;GO:0046602;GO:0071260;GO:0106310;GO:1901988;GO:1902742
ENSMUSG00000029521,Chek2,checkpoint kinase 2,1355321,GO:0000045;GO:0000077;GO:0000086;GO:0000166;GO:0000781;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005794;GO:0006281;GO:0006302;GO:0006355;GO:0006468;GO:0006915;GO:0006974;GO:0006979;GO:0008630;GO:0010332;GO:0016301;GO:0016605;GO:0016740;GO:0019901;GO:0030163;GO:0030330;GO:0031573;GO:0031625;GO:0033554;GO:0042176;GO:0042594;GO:0042770;GO:0042771;GO:0042802;GO:0042803;GO:0044773;GO:0045893;GO:0046777;GO:0046872;GO:0050821;GO:0051301;GO:0070242;GO:0070534;GO:0071466;GO:0071480;GO:0090307;GO:0106310;GO:1903416;GO:1903926;GO:2000002;GO:2000210;GO:2000785;GO:2000786
ENSMUSG00000024843,Chka,choline kinase alpha,107760,GO:0000166;GO:0004103;GO:0004104;GO:0004305;GO:0004713;GO:0005524;GO:0005737;GO:0005811;GO:0005829;GO:0006629;GO:0006646;GO:0006656;GO:0006657;GO:0008654;GO:0016301;GO:0016740;GO:0042149;GO:0042802;GO:0042803;GO:0046474;GO:1905691
ENSMUSG00000022617,Chkb,choline kinase beta,1328313,GO:0000166;GO:0004103;GO:0004305;GO:0005524;GO:0005737;GO:0006629;GO:0006646;GO:0006656;GO:0006657;GO:0007517;GO:0008654;GO:0016301;GO:0016740;GO:0046474
ENSMUSG00000025199,Chuk,conserved helix-loop-helix ubiquitous kinase,99484,GO:0000166;GO:0003009;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0006357;GO:0006468;GO:0007229;GO:0007249;GO:0008384;GO:0008385;GO:0009410;GO:0009636;GO:0009898;GO:0010034;GO:0016301;GO:0016740;GO:0032727;GO:0033194;GO:0033209;GO:0034142;GO:0035631;GO:0038061;GO:0042803;GO:0043123;GO:0043200;GO:0044877;GO:0045944;GO:0046982;GO:0051146;GO:0061847;GO:0071356;GO:0097110;GO:0098586;GO:1990459
ENSMUSG00000022504,Ciita,class II transactivator,108445,GO:0000122;GO:0000166;GO:0004674;GO:0005515;GO:0005524;GO:0005525;GO:0005634;GO:0006355;GO:0009986;GO:0016301;GO:0016605;GO:0016740;GO:0016746;GO:0034341;GO:0044877;GO:0045345;GO:0045348;GO:0045892;GO:0045944;GO:0046677;GO:0071257;GO:0071346;GO:0071360;GO:0106310
ENSMUSG00000009828,Cilk1,ciliogenesis associated kinase 1,1934157,GO:0000166;GO:0000287;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0005856;GO:0005929;GO:0006468;GO:0007165;GO:0016301;GO:0016740;GO:0030030;GO:0035556;GO:0035720;GO:0035721;GO:0036064;GO:0042073;GO:0042995;GO:0046872;GO:0060271;GO:0097542;GO:0097546;GO:0106310
ENSMUSG00000029516,Cit,citron,105313,GO:0000166;GO:0000281;GO:0001223;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0005829;GO:0006468;GO:0008270;GO:0016301;GO:0016740;GO:0019901;GO:0030165;GO:0030291;GO:0032467;GO:0032535;GO:0035331;GO:0044772;GO:0046872;GO:0051402;GO:0097110;GO:0106310
ENSMUSG00000001270,Ckb,"creatine kinase, brain",88407,GO:0000166;GO:0003824;GO:0004111;GO:0005515;GO:0005524;GO:0005615;GO:0005737;GO:0005739;GO:0005829;GO:0005886;GO:0016020;GO:0016301;GO:0016740;GO:0016772;GO:0031625;GO:0043209;GO:0046314;GO:0140651
ENSMUSG00000030399,Ckm,"creatine kinase, muscle",88413,GO:0000166;GO:0003824;GO:0004111;GO:0005524;GO:0005615;GO:0005737;GO:0006603;GO:0009408;GO:0016301;GO:0016740;GO:0016772;GO:0046314
ENSMUSG00000000308,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous",99441,GO:0000166;GO:0003824;GO:0004111;GO:0005515;GO:0005524;GO:0005739;GO:0005743;GO:0016020;GO:0016301;GO:0016740;GO:0016772;GO:0043066;GO:0043209;GO:0046314;GO:1901029
ENSMUSG00000021622,Ckmt2,"creatine kinase, mitochondrial 2",1923972,GO:0000166;GO:0003824;GO:0004111;GO:0005524;GO:0005739;GO:0005743;GO:0006603;GO:0016020;GO:0016301;GO:0016740;GO:0016772;GO:0046314
ENSMUSG00000062248,Cks2,CDC28 protein kinase regulatory subunit 2,1913447,GO:0000307;GO:0003682;GO:0006357;GO:0007127;GO:0007346;GO:0016301;GO:0016538;GO:0019005;GO:0019901;GO:0042393;GO:0043130;GO:0044772;GO:0048144;GO:0051301;GO:0061575
ENSMUSG00000026034,Clk1,CDC-like kinase 1,107403,GO:0000166;GO:0004672;GO:0004674;GO:0004712;GO:0004713;GO:0005515;GO:0005524;GO:0005634;GO:0006468;GO:0016301;GO:0016740;GO:0043484;GO:0106310
ENSMUSG00000068917,Clk2,CDC-like kinase 2,1098669,GO:0000166;GO:0004672;GO:0004674;GO:0004712;GO:0004713;GO:0005524;GO:0005634;GO:0005654;GO:0006468;GO:0010212;GO:0016301;GO:0016604;GO:0016607;GO:0016740;GO:0032526;GO:0042802;GO:0043484;GO:0045721;GO:0046777;GO:0106310
ENSMUSG00000032316,Clk3,CDC-like kinase 3,1098670,GO:0000166;GO:0001669;GO:0004672;GO:0004674;GO:0004712;GO:0004713;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0006468;GO:0016301;GO:0016740;GO:0031410;GO:0042802;GO:0043484;GO:0045111;GO:0106310
ENSMUSG00000020385,Clk4,CDC like kinase 4,1098551,GO:0000166;GO:0004672;GO:0004674;GO:0004712;GO:0004713;GO:0005524;GO:0005634;GO:0006468;GO:0016301;GO:0016740;GO:0043484;GO:0106310
ENSMUSG00000027079,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",2138968,GO:0000166;GO:0000214;GO:0005524;GO:0005634;GO:0005654;GO:0005829;GO:0005849;GO:0006388;GO:0006396;GO:0006397;GO:0008033;GO:0016301;GO:0016740;GO:0021695;GO:0031124;GO:0046404;GO:0051731;GO:0051734;GO:0051736;GO:0070922;GO:0098795
ENSMUSG00000028719,Cmpk1,cytidine/uridine monophosphate kinase 1,1913838,GO:0000166;GO:0004017;GO:0004127;GO:0004550;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0006139;GO:0006207;GO:0006221;GO:0006225;GO:0009041;GO:0016301;GO:0016740;GO:0016776;GO:0019205;GO:0033862;GO:0036430;GO:0036431;GO:0046940;GO:0047506;GO:0050145;GO:0072528
ENSMUSG00000020638,Cmpk2,cytidine/uridine monophosphate kinase 2,99830,GO:0000166;GO:0004550;GO:0004798;GO:0005524;GO:0005654;GO:0005737;GO:0005739;GO:0006221;GO:0006227;GO:0006233;GO:0006235;GO:0016301;GO:0016740;GO:0033862;GO:0036430;GO:0036431;GO:0046940;GO:0050145;GO:0071222;GO:0120136
ENSMUSG00000001755,Coasy,Coenzyme A synthase,1918993,GO:0000166;GO:0003824;GO:0004140;GO:0004595;GO:0005524;GO:0005737;GO:0005739;GO:0005741;GO:0005759;GO:0009058;GO:0015937;GO:0016301;GO:0016740;GO:0016779
ENSMUSG00000026489,Coq8a,coenzyme Q8A,1914676,GO:0000166;GO:0004672;GO:0005524;GO:0005739;GO:0006744;GO:0008047;GO:0016020;GO:0016301;GO:0016310;GO:0016740;GO:0031314;GO:0031966;GO:0043531
ENSMUSG00000003762,Coq8b,coenzyme Q8B,1924139,GO:0004672;GO:0005739;GO:0006744;GO:0021692
ENSMUSG00000028228,Cpne3,copine III,1917818,GO:0004674;GO:0005544;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005739;GO:0005829;GO:0005886;GO:0005925;GO:0016020;GO:0030054;GO:0030335;GO:0030971;GO:0038128;GO:0046872;GO:0048306;GO:0070161;GO:0071277;GO:0071363
ENSMUSG00000024621,Csf1r,colony stimulating factor 1 receptor,1339758,GO:0000166;GO:0002376;GO:0002573;GO:0002931;GO:0004672;GO:0004713;GO:0004714;GO:0005011;GO:0005515;GO:0005524;GO:0005654;GO:0005886;GO:0006468;GO:0006950;GO:0006954;GO:0007169;GO:0007411;GO:0008283;GO:0008284;GO:0008285;GO:0008360;GO:0009653;GO:0009986;GO:0010604;GO:0010759;GO:0016020;GO:0016301;GO:0016477;GO:0016740;GO:0018108;GO:0019221;GO:0019838;GO:0019903;GO:0019955;GO:0021537;GO:0021772;GO:0021879;GO:0022604;GO:0030097;GO:0030316;GO:0030335;GO:0031529;GO:0032722;GO:0032956;GO:0036006;GO:0038145;GO:0042531;GO:0042803;GO:0043066;GO:0043235;GO:0043408;GO:0044794;GO:0045087;GO:0045124;GO:0045217;GO:0046777;GO:0046872;GO:0051897;GO:0061518;GO:0070374;GO:0071345;GO:0120041;GO:1905521;GO:1990682;GO:2000147
ENSMUSG00000032312,Csk,c-src tyrosine kinase,88537,GO:0000166;GO:0002250;GO:0002376;GO:0002682;GO:0004672;GO:0004713;GO:0004715;GO:0005515;GO:0005524;GO:0005737;GO:0005886;GO:0005911;GO:0006468;GO:0008285;GO:0010989;GO:0016020;GO:0016301;GO:0016740;GO:0019903;GO:0032715;GO:0034236;GO:0034332;GO:0035556;GO:0042802;GO:0042997;GO:0045779;GO:0046872;GO:0048709;GO:0050765;GO:0050860;GO:0050868;GO:0051239;GO:0060368;GO:0070064;GO:0070373;GO:0071375;GO:1990782
ENSMUSG00000024576,Csnk1a1,"casein kinase 1, alpha 1",1934950,GO:0000045;GO:0000166;GO:0000775;GO:0000776;GO:0000902;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005694;GO:0005737;GO:0005813;GO:0005819;GO:0005829;GO:0005847;GO:0005856;GO:0005929;GO:0006468;GO:0007030;GO:0007165;GO:0009968;GO:0010507;GO:0010508;GO:0016055;GO:0016301;GO:0016607;GO:0016740;GO:0030877;GO:0031146;GO:0031669;GO:0031670;GO:0032436;GO:0035025;GO:0036064;GO:0038202;GO:0042995;GO:0043161;GO:0044546;GO:0045095;GO:0045104;GO:0051301;GO:0090090;GO:0106310;GO:1900226;GO:1900227;GO:1904262;GO:1904263;GO:1990904
ENSMUSG00000025162,Csnk1d,"casein kinase 1, delta",1355272,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005794;GO:0005813;GO:0005819;GO:0005829;GO:0005856;GO:0005876;GO:0005886;GO:0005929;GO:0006468;GO:0006897;GO:0007020;GO:0007030;GO:0007165;GO:0015629;GO:0016020;GO:0016055;GO:0016301;GO:0016740;GO:0030177;GO:0032436;GO:0032922;GO:0034067;GO:0036064;GO:0042752;GO:0048471;GO:0048511;GO:0051225;GO:0061512;GO:0071539;GO:0090263;GO:0106310;GO:1904948;GO:1905515;GO:2000052
ENSMUSG00000022433,Csnk1e,"casein kinase 1, epsilon",1351660,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0006468;GO:0006897;GO:0007165;GO:0007623;GO:0008104;GO:0016020;GO:0016055;GO:0016301;GO:0016740;GO:0030177;GO:0030178;GO:0030426;GO:0032436;GO:0032880;GO:0032922;GO:0035567;GO:0042752;GO:0043025;GO:0048511;GO:0048512;GO:0051058;GO:0060070;GO:0090263;GO:0106310;GO:1902004;GO:1990090;GO:1990904;GO:2000052
ENSMUSG00000032384,Csnk1g1,"casein kinase 1, gamma 1",2660884,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0005886;GO:0006468;GO:0006897;GO:0007165;GO:0016055;GO:0016301;GO:0016740;GO:0090263;GO:0106310
ENSMUSG00000003345,Csnk1g2,"casein kinase 1, gamma 2",1920014,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0005886;GO:0005938;GO:0006468;GO:0006897;GO:0007165;GO:0016055;GO:0016301;GO:0016740;GO:0090263;GO:0106310
ENSMUSG00000073563,Csnk1g3,"casein kinase 1, gamma 3",1917675,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0005886;GO:0006468;GO:0006897;GO:0007165;GO:0016055;GO:0016301;GO:0016740;GO:0090263;GO:0106310
ENSMUSG00000074698,Csnk2a1,"casein kinase 2, alpha 1 polypeptide",88543,GO:0000166;GO:0000785;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005829;GO:0005956;GO:0006302;GO:0006468;GO:0006915;GO:0008013;GO:0008284;GO:0016055;GO:0016301;GO:0016740;GO:0019888;GO:0021987;GO:0030177;GO:0030307;GO:0031519;GO:0033574;GO:0043021;GO:0045732;GO:0048511;GO:0051726;GO:0097421;GO:0106310;GO:1903076;GO:1905337;GO:1905818;GO:2000042;GO:2001234
ENSMUSG00000046707,Csnk2a2,"casein kinase 2, alpha prime polypeptide",88547,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0005956;GO:0006302;GO:0006468;GO:0006915;GO:0006974;GO:0007283;GO:0016055;GO:0016301;GO:0016740;GO:0031519;GO:0032435;GO:0051726;GO:0106310;GO:1905818
ENSMUSG00000024387,Csnk2b,"casein kinase 2, beta polypeptide",88548,GO:0000785;GO:0001650;GO:0003682;GO:0004674;GO:0005102;GO:0005515;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005886;GO:0005956;GO:0016055;GO:0016605;GO:0019046;GO:0019887;GO:0019904;GO:0030674;GO:0031519;GO:0032435;GO:0032927;GO:0033211;GO:0042802;GO:0043537;GO:0046872;GO:0060391;GO:0061154;GO:0061629;GO:0075342;GO:1903901
ENSMUSG00000021559,Dapk1,death associated protein kinase 1,1916885,GO:0000166;GO:0002357;GO:0002834;GO:0004672;GO:0004674;GO:0004683;GO:0005515;GO:0005516;GO:0005524;GO:0005525;GO:0005634;GO:0005737;GO:0005829;GO:0005886;GO:0006417;GO:0006468;GO:0006915;GO:0007165;GO:0008625;GO:0010508;GO:0014069;GO:0015629;GO:0016301;GO:0016740;GO:0017075;GO:0017148;GO:0035556;GO:0042802;GO:0042981;GO:0043065;GO:0043066;GO:0043226;GO:0071346;GO:0071447;GO:0097190;GO:0098978;GO:0106310;GO:1904094;GO:1990722;GO:2000310
ENSMUSG00000032380,Dapk2,death-associated protein kinase 2,1341297,GO:0000166;GO:0004672;GO:0004674;GO:0005516;GO:0005524;GO:0005634;GO:0005737;GO:0005794;GO:0006468;GO:0006915;GO:0016301;GO:0016740;GO:0031410;GO:0034423;GO:0035556;GO:0042802;GO:0043065;GO:0043276;GO:0090023;GO:0106310;GO:1990266;GO:2000424;GO:2001242
ENSMUSG00000034974,Dapk3,death-associated protein kinase 3,1203520,GO:0000166;GO:0000775;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005694;GO:0005737;GO:0005813;GO:0005819;GO:0005829;GO:0005856;GO:0005929;GO:0006325;GO:0006468;GO:0006915;GO:0007346;GO:0008360;GO:0016301;GO:0016605;GO:0016740;GO:0017148;GO:0030335;GO:0030496;GO:0031267;GO:0032956;GO:0035556;GO:0042802;GO:0042803;GO:0043065;GO:0043519;GO:0043522;GO:0046777;GO:0051893;GO:0071346;GO:0090263;GO:0097190;GO:0106310
ENSMUSG00000002297,Dbf4,DBF4 zinc finger,1351328,GO:0003676;GO:0004674;GO:0005634;GO:0005654;GO:0006260;GO:0007089;GO:0008270;GO:0010571;GO:0016604;GO:0031431;GO:0043539;GO:0046872;GO:1901987
ENSMUSG00000040325,Dcaf1,DDB1 and CUL4 associated factor 1,2445220,GO:0000122;GO:0000166;GO:0001650;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005813;GO:0005856;GO:0006325;GO:0006338;GO:0008180;GO:0016301;GO:0016567;GO:0016740;GO:0030183;GO:0030331;GO:0033151;GO:0035212;GO:0043161;GO:0043687;GO:0045732;GO:0080008;GO:0097510;GO:0106310;GO:1990244;GO:1990756
ENSMUSG00000029366,Dck,deoxycytidine kinase,102726,GO:0000166;GO:0004136;GO:0004137;GO:0004138;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005829;GO:0006139;GO:0006170;GO:0006220;GO:0009224;GO:0016301;GO:0016740;GO:0019136;GO:0042803;GO:0043771;GO:0106383;GO:0106384;GO:1901293
ENSMUSG00000027797,Dclk1,doublecortin-like kinase 1,1330861,GO:0000166;GO:0001764;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0006468;GO:0007399;GO:0007409;GO:0007420;GO:0009615;GO:0014069;GO:0016301;GO:0016740;GO:0021952;GO:0021954;GO:0030154;GO:0030900;GO:0034504;GO:0035556;GO:0048675;GO:0048813;GO:0098794;GO:0098978;GO:0106310;GO:0150052;GO:1900181
ENSMUSG00000028078,Dclk2,doublecortin-like kinase 2,1918012,GO:0000166;GO:0000226;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0005856;GO:0006468;GO:0007417;GO:0008017;GO:0016301;GO:0016740;GO:0021766;GO:0021860;GO:0021954;GO:0034504;GO:0035556;GO:0106310;GO:1900181
ENSMUSG00000032500,Dclk3,doublecortin-like kinase 3,3039580,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0006468;GO:0016301;GO:0016740;GO:0034504;GO:0035556;GO:0106310;GO:1900181
ENSMUSG00000003534,Ddr1,"discoidin domain receptor family, member 1",99216,GO:0000166;GO:0001558;GO:0001952;GO:0004672;GO:0004713;GO:0004714;GO:0005518;GO:0005524;GO:0005886;GO:0006468;GO:0007169;GO:0007565;GO:0007566;GO:0007595;GO:0008283;GO:0008285;GO:0010715;GO:0010976;GO:0014909;GO:0016020;GO:0016301;GO:0016740;GO:0038062;GO:0038063;GO:0038083;GO:0043235;GO:0043583;GO:0044319;GO:0046872;GO:0051897;GO:0060444;GO:0060749;GO:0061302;GO:0061564;GO:1990138
ENSMUSG00000026674,Ddr2,"discoidin domain receptor family, member 2",1345277,GO:0000166;GO:0001503;GO:0003416;GO:0004672;GO:0004713;GO:0004714;GO:0005518;GO:0005524;GO:0005886;GO:0006468;GO:0007169;GO:0008284;GO:0010715;GO:0010763;GO:0010976;GO:0015629;GO:0016020;GO:0016301;GO:0016324;GO:0016740;GO:0018108;GO:0030199;GO:0030500;GO:0031214;GO:0032967;GO:0034103;GO:0035988;GO:0035994;GO:0038062;GO:0038063;GO:0043066;GO:0043235;GO:0045669;GO:0045860;GO:0048146;GO:0051091;GO:0051897;GO:0070374;GO:0071456;GO:0071560;GO:0090091;GO:0090303;GO:1900087;GO:1901299;GO:1904385;GO:1904707;GO:1904754;GO:1904899;GO:2000491
ENSMUSG00000025357,Dgka,"diacylglycerol kinase, alpha",102952,GO:0000166;GO:0004143;GO:0005509;GO:0005524;GO:0005543;GO:0005737;GO:0005829;GO:0005886;GO:0006629;GO:0006654;GO:0007165;GO:0007200;GO:0008270;GO:0008289;GO:0016301;GO:0016740;GO:0035556;GO:0046339;GO:0046486;GO:0046834;GO:0046872;GO:0047649
ENSMUSG00000036095,Dgkb,"diacylglycerol kinase, beta",2442474,GO:0000166;GO:0004143;GO:0005509;GO:0005524;GO:0005654;GO:0005737;GO:0005886;GO:0006629;GO:0006654;GO:0007165;GO:0007200;GO:0008270;GO:0009617;GO:0016020;GO:0016301;GO:0016607;GO:0016740;GO:0035556;GO:0045202;GO:0045211;GO:0046339;GO:0046473;GO:0046486;GO:0046834;GO:0046872;GO:0050804;GO:0098685;GO:0098978;GO:0099175
ENSMUSG00000070738,Dgkd,"diacylglycerol kinase, delta",2138334,GO:0000166;GO:0004143;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0005905;GO:0006629;GO:0006654;GO:0006897;GO:0007165;GO:0007200;GO:0008270;GO:0015031;GO:0016020;GO:0016301;GO:0016740;GO:0019900;GO:0031410;GO:0035556;GO:0042802;GO:0042803;GO:0045742;GO:0046339;GO:0046340;GO:0046486;GO:0046834;GO:0046872;GO:0046982;GO:0160195;GO:2000370
ENSMUSG00000000276,Dgke,"diacylglycerol kinase, epsilon",1889276,GO:0000166;GO:0004143;GO:0005524;GO:0005654;GO:0005737;GO:0005829;GO:0006629;GO:0006654;GO:0006661;GO:0007165;GO:0007200;GO:0008270;GO:0016020;GO:0016301;GO:0016740;GO:0035556;GO:0046339;GO:0046474;GO:0046486;GO:0046834;GO:0046872;GO:0050804;GO:0098978
ENSMUSG00000022861,Dgkg,"diacylglycerol kinase, gamma",105060,GO:0000166;GO:0004143;GO:0005509;GO:0005524;GO:0005737;GO:0005829;GO:0005856;GO:0005886;GO:0006629;GO:0006654;GO:0007165;GO:0007200;GO:0008270;GO:0008289;GO:0016020;GO:0016301;GO:0016740;GO:0035556;GO:0046339;GO:0046486;GO:0046834;GO:0046872;GO:0050773;GO:0160195
ENSMUSG00000034731,Dgkh,"diacylglycerol kinase, eta",2444188,GO:0000166;GO:0004143;GO:0005515;GO:0005524;GO:0005737;GO:0005768;GO:0005856;GO:0005886;GO:0006629;GO:0006654;GO:0007165;GO:0007200;GO:0008270;GO:0015629;GO:0016020;GO:0016301;GO:0016740;GO:0035556;GO:0042803;GO:0046339;GO:0046473;GO:0046486;GO:0046834;GO:0046872;GO:0141212
ENSMUSG00000038665,Dgki,"diacylglycerol kinase, iota",2443430,GO:0000166;GO:0004143;GO:0005095;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0005886;GO:0006629;GO:0006654;GO:0007165;GO:0007200;GO:0007265;GO:0007269;GO:0008021;GO:0014069;GO:0016020;GO:0016301;GO:0016740;GO:0030424;GO:0030425;GO:0030672;GO:0031267;GO:0031410;GO:0032045;GO:0032991;GO:0035556;GO:0042995;GO:0043025;GO:0043197;GO:0043679;GO:0045202;GO:0046339;GO:0046486;GO:0046578;GO:0046579;GO:0046959;GO:0048471;GO:0048786;GO:0051966;GO:0060076;GO:0060079;GO:0097060;GO:0098685;GO:0098793;GO:0098794;GO:0098978;GO:0099171;GO:1900452
ENSMUSG00000062393,Dgkk,diacylglycerol kinase kappa,3580254,GO:0000166;GO:0004143;GO:0005524;GO:0005737;GO:0005886;GO:0006629;GO:0006654;GO:0006979;GO:0007165;GO:0007200;GO:0008270;GO:0016301;GO:0016740;GO:0035556;GO:0046339;GO:0046486;GO:0046872
