MGI symbol	Gene stable ID	UniProtKB/Swiss-Prot ID	MGI ID	Gene name	Gene description
Sv2b	ENSMUSG00000053025	Q8BG39	MGI:1927338	Sv2b	synaptic vesicle glycoprotein 2b [Source:MGI Symbol;Acc:MGI:1927338]
Sytl3	ENSMUSG00000041831		MGI:1933367	Sytl3	synaptotagmin-like 3 [Source:MGI Symbol;Acc:MGI:1933367]
Fat4	ENSMUSG00000046743	Q2PZL6	MGI:3045256	Fat4	FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256]
Sv2b	ENSMUSG00000053025		MGI:1927338	Sv2b	synaptic vesicle glycoprotein 2b [Source:MGI Symbol;Acc:MGI:1927338]
Bhlhe23	ENSMUSG00000045493	Q8BGW3	MGI:2153710	Bhlhe23	basic helix-loop-helix family, member e23 [Source:MGI Symbol;Acc:MGI:2153710]
Skint2	ENSMUSG00000034359		MGI:3649629	Skint2	selection and upkeep of intraepithelial T cells 2 [Source:MGI Symbol;Acc:MGI:3649629]
Acbd6	ENSMUSG00000033701	Q9D061	MGI:1919732	Acbd6	acyl-Coenzyme A binding domain containing 6 [Source:MGI Symbol;Acc:MGI:1919732]
Skint2	ENSMUSG00000034359	A7XUX6	MGI:3649629	Skint2	selection and upkeep of intraepithelial T cells 2 [Source:MGI Symbol;Acc:MGI:3649629]
Cog4	ENSMUSG00000031753	Q8R1U1	MGI:2142808	Cog4	component of oligomeric golgi complex 4 [Source:MGI Symbol;Acc:MGI:2142808]
Dmwd	ENSMUSG00000030410	Q08274	MGI:94907	Dmwd	dystrophia myotonica-containing WD repeat motif [Source:MGI Symbol;Acc:MGI:94907]
Dmwd	ENSMUSG00000030410		MGI:94907	Dmwd	dystrophia myotonica-containing WD repeat motif [Source:MGI Symbol;Acc:MGI:94907]
Dap	ENSMUSG00000039168	Q91XC8	MGI:1918190	Dap	death-associated protein [Source:MGI Symbol;Acc:MGI:1918190]
Tc2n	ENSMUSG00000021187	Q91XT6	MGI:1921663	Tc2n	tandem C2 domains, nuclear [Source:MGI Symbol;Acc:MGI:1921663]
Dap	ENSMUSG00000039168		MGI:1918190	Dap	death-associated protein [Source:MGI Symbol;Acc:MGI:1918190]
Tc2n	ENSMUSG00000021187		MGI:1921663	Tc2n	tandem C2 domains, nuclear [Source:MGI Symbol;Acc:MGI:1921663]
Acbd6	ENSMUSG00000033701		MGI:1919732	Acbd6	acyl-Coenzyme A binding domain containing 6 [Source:MGI Symbol;Acc:MGI:1919732]
Prpf4b	ENSMUSG00000021413	Q61136	MGI:109584	Prpf4b	pre-mRNA processing factor 4B [Source:MGI Symbol;Acc:MGI:109584]
Lrrc72	ENSMUSG00000020545		MGI:1920830	Lrrc72	leucine rich repeat containing 72 [Source:MGI Symbol;Acc:MGI:1920830]
Skint10	ENSMUSG00000048766	A7TZG1	MGI:2685416	Skint10	selection and upkeep of intraepithelial T cells 10 [Source:MGI Symbol;Acc:MGI:2685416]
Skint10	ENSMUSG00000048766		MGI:2685416	Skint10	selection and upkeep of intraepithelial T cells 10 [Source:MGI Symbol;Acc:MGI:2685416]
Vegfc	ENSMUSG00000031520	P97953	MGI:109124	Vegfc	vascular endothelial growth factor C [Source:MGI Symbol;Acc:MGI:109124]
Vezt	ENSMUSG00000036099	Q3ZK22	MGI:2143698	Vezt	vezatin, adherens junctions transmembrane protein [Source:MGI Symbol;Acc:MGI:2143698]
Prpf4b	ENSMUSG00000021413		MGI:109584	Prpf4b	pre-mRNA processing factor 4B [Source:MGI Symbol;Acc:MGI:109584]
Lhx4	ENSMUSG00000026468	P53776	MGI:101776	Lhx4	LIM homeobox protein 4 [Source:MGI Symbol;Acc:MGI:101776]
Lhx4	ENSMUSG00000026468		MGI:101776	Lhx4	LIM homeobox protein 4 [Source:MGI Symbol;Acc:MGI:101776]
Sostdc1	ENSMUSG00000036169	Q9CQN4	MGI:1913292	Sostdc1	sclerostin domain containing 1 [Source:MGI Symbol;Acc:MGI:1913292]
Eml6	ENSMUSG00000044072	Q5SQM0	MGI:2442895	Eml6	echinoderm microtubule associated protein like 6 [Source:MGI Symbol;Acc:MGI:2442895]
Spcs3	ENSMUSG00000054408	Q6ZWQ7	MGI:1923937	Spcs3	signal peptidase complex subunit 3 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923937]
Pgm3	ENSMUSG00000056131	Q9CYR6	MGI:97566	Pgm3	phosphoglucomutase 3 [Source:MGI Symbol;Acc:MGI:97566]
Bmal2	ENSMUSG00000040187	Q2VPD4	MGI:2684845	Bmal2	basic helix-loop-helix ARNT like 2 [Source:MGI Symbol;Acc:MGI:2684845]
Eml6	ENSMUSG00000044072		MGI:2442895	Eml6	echinoderm microtubule associated protein like 6 [Source:MGI Symbol;Acc:MGI:2442895]
Pgm3	ENSMUSG00000056131		MGI:97566	Pgm3	phosphoglucomutase 3 [Source:MGI Symbol;Acc:MGI:97566]
Fem1al	ENSMUSG00000078157	Q8C0T1	MGI:2441689	Fem1al	fem-1 homolog A like [Source:MGI Symbol;Acc:MGI:2441689]
Fam217a	ENSMUSG00000021414		MGI:1919114	Fam217a	family with sequence similarity 217, member A [Source:MGI Symbol;Acc:MGI:1919114]
Fam217a	ENSMUSG00000021414	Q9D9W6	MGI:1919114	Fam217a	family with sequence similarity 217, member A [Source:MGI Symbol;Acc:MGI:1919114]
Fbln5	ENSMUSG00000021186	Q9WVH9	MGI:1346091	Fbln5	fibulin 5 [Source:MGI Symbol;Acc:MGI:1346091]
Fbln5	ENSMUSG00000021186		MGI:1346091	Fbln5	fibulin 5 [Source:MGI Symbol;Acc:MGI:1346091]
Bmal2	ENSMUSG00000040187		MGI:2684845	Bmal2	basic helix-loop-helix ARNT like 2 [Source:MGI Symbol;Acc:MGI:2684845]
Ezr	ENSMUSG00000052397	P26040	MGI:98931	Ezr	ezrin [Source:MGI Symbol;Acc:MGI:98931]
Rwdd2a	ENSMUSG00000032417		MGI:1916769	Rwdd2a	RWD domain containing 2A [Source:MGI Symbol;Acc:MGI:1916769]
Tex56	ENSMUSG00000021415	Q497N7	MGI:1914011	Tex56	testis expressed 56 [Source:MGI Symbol;Acc:MGI:1914011]
Dennd3	ENSMUSG00000036661	A2RT67	MGI:2146009	Dennd3	DENN domain containing 3 [Source:MGI Symbol;Acc:MGI:2146009]
Skint6	ENSMUSG00000087194	A7XUZ6	MGI:3649262	Skint6	selection and upkeep of intraepithelial T cells 6 [Source:MGI Symbol;Acc:MGI:3649262]
Dennd3	ENSMUSG00000036661		MGI:2146009	Dennd3	DENN domain containing 3 [Source:MGI Symbol;Acc:MGI:2146009]
Eva1a	ENSMUSG00000035104		MGI:2385247	Eva1a	eva-1 homolog A, regulator of programmed cell death [Source:MGI Symbol;Acc:MGI:2385247]
Eva1a	ENSMUSG00000035104	Q91WM6	MGI:2385247	Eva1a	eva-1 homolog A, regulator of programmed cell death [Source:MGI Symbol;Acc:MGI:2385247]
Rsph3b	ENSMUSG00000023806		MGI:3630308	Rsph3b	radial spoke 3B homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:3630308]
Rsph3b	ENSMUSG00000023806	Q9DA80	MGI:3630308	Rsph3b	radial spoke 3B homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:3630308]
Slit1	ENSMUSG00000025020		MGI:1315203	Slit1	slit guidance ligand 1 [Source:MGI Symbol;Acc:MGI:1315203]
Eci3	ENSMUSG00000021416	Q78JN3	MGI:1916373	Eci3	enoyl-Coenzyme A delta isomerase 3 [Source:MGI Symbol;Acc:MGI:1916373]
Flcn	ENSMUSG00000032633	Q8QZS3	MGI:2442184	Flcn	folliculin [Source:MGI Symbol;Acc:MGI:2442184]
Eci3	ENSMUSG00000021416		MGI:1916373	Eci3	enoyl-Coenzyme A delta isomerase 3 [Source:MGI Symbol;Acc:MGI:1916373]
Slit1	ENSMUSG00000025020	Q80TR4	MGI:1315203	Slit1	slit guidance ligand 1 [Source:MGI Symbol;Acc:MGI:1315203]
Ppp1r3a	ENSMUSG00000042717	Q99MR9	MGI:2153588	Ppp1r3a	protein phosphatase 1, regulatory subunit 3A [Source:MGI Symbol;Acc:MGI:2153588]
Tmem266	ENSMUSG00000032313	Q8BZB3	MGI:2142980	Tmem266	transmembrane protein 266 [Source:MGI Symbol;Acc:MGI:2142980]
Stat4	ENSMUSG00000062939		MGI:103062	Stat4	signal transducer and activator of transcription 4 [Source:MGI Symbol;Acc:MGI:103062]
Fgd6	ENSMUSG00000020021	Q69ZL1	MGI:1261419	Fgd6	FYVE, RhoGEF and PH domain containing 6 [Source:MGI Symbol;Acc:MGI:1261419]
Myom1	ENSMUSG00000024049		MGI:1341430	Myom1	myomesin 1 [Source:MGI Symbol;Acc:MGI:1341430]
Flcn	ENSMUSG00000032633		MGI:2442184	Flcn	folliculin [Source:MGI Symbol;Acc:MGI:2442184]
Smco2	ENSMUSG00000030292	Q9DA21	MGI:1916621	Smco2	single-pass membrane protein with coiled-coil domains 2 [Source:MGI Symbol;Acc:MGI:1916621]
Trim66	ENSMUSG00000031026		MGI:2152406	Trim66	tripartite motif-containing 66 [Source:MGI Symbol;Acc:MGI:2152406]
Csmd1	ENSMUSG00000060924	Q923L3	MGI:2137383	Csmd1	CUB and Sushi multiple domains 1 [Source:MGI Symbol;Acc:MGI:2137383]
Timm22	ENSMUSG00000020843		MGI:1929742	Timm22	translocase of inner mitochondrial membrane 22 [Source:MGI Symbol;Acc:MGI:1929742]
Tacr1	ENSMUSG00000030043	P30548	MGI:98475	Tacr1	tachykinin receptor 1 [Source:MGI Symbol;Acc:MGI:98475]
Trim66	ENSMUSG00000031026	Q924W6	MGI:2152406	Trim66	tripartite motif-containing 66 [Source:MGI Symbol;Acc:MGI:2152406]
Msantd2	ENSMUSG00000042138		MGI:2384579	Msantd2	Myb/SANT-like DNA-binding domain containing 2 [Source:MGI Symbol;Acc:MGI:2384579]
Sfmbt1	ENSMUSG00000006527	Q9JMD1	MGI:1859609	Sfmbt1	Scm-like with four mbt domains 1 [Source:MGI Symbol;Acc:MGI:1859609]
Sfmbt1	ENSMUSG00000006527		MGI:1859609	Sfmbt1	Scm-like with four mbt domains 1 [Source:MGI Symbol;Acc:MGI:1859609]
Timm22	ENSMUSG00000020843	Q9CQ85	MGI:1929742	Timm22	translocase of inner mitochondrial membrane 22 [Source:MGI Symbol;Acc:MGI:1929742]
Msantd2	ENSMUSG00000042138	Q6NZR2	MGI:2384579	Msantd2	Myb/SANT-like DNA-binding domain containing 2 [Source:MGI Symbol;Acc:MGI:2384579]
Rpl27a	ENSMUSG00000046364	P14115	MGI:1347076	Rpl27a	ribosomal protein L27A [Source:MGI Symbol;Acc:MGI:1347076]
Rpl27a	ENSMUSG00000046364		MGI:1347076	Rpl27a	ribosomal protein L27A [Source:MGI Symbol;Acc:MGI:1347076]
Pole4	ENSMUSG00000030042		MGI:1914229	Pole4	polymerase (DNA-directed), epsilon 4 (p12 subunit) [Source:MGI Symbol;Acc:MGI:1914229]
Pole4	ENSMUSG00000030042	Q9CQ36	MGI:1914229	Pole4	polymerase (DNA-directed), epsilon 4 (p12 subunit) [Source:MGI Symbol;Acc:MGI:1914229]
2700049A03Rik	ENSMUSG00000034601	E9PV87	MGI:1924217	2700049A03Rik	RIKEN cDNA 2700049A03 gene [Source:MGI Symbol;Acc:MGI:1924217]
Shank3	ENSMUSG00000022623	Q4ACU6	MGI:1930016	Shank3	SH3 and multiple ankyrin repeat domains 3 [Source:MGI Symbol;Acc:MGI:1930016]
2700049A03Rik	ENSMUSG00000034601		MGI:1924217	2700049A03Rik	RIKEN cDNA 2700049A03 gene [Source:MGI Symbol;Acc:MGI:1924217]
Shank3	ENSMUSG00000022623		MGI:1930016	Shank3	SH3 and multiple ankyrin repeat domains 3 [Source:MGI Symbol;Acc:MGI:1930016]
Etfa	ENSMUSG00000032314	Q99LC5	MGI:106092	Etfa	electron transferring flavoprotein, alpha polypeptide [Source:MGI Symbol;Acc:MGI:106092]
R3hcc1	ENSMUSG00000034194	Q8BSI6	MGI:1919093	R3hcc1	R3H domain and coiled-coil containing 1 [Source:MGI Symbol;Acc:MGI:1919093]
Asb5	ENSMUSG00000031519	Q9D1A4	MGI:1923544	Asb5	ankyrin repeat and SOCs box-containing 5 [Source:MGI Symbol;Acc:MGI:1923544]
Asb5	ENSMUSG00000031519		MGI:1923544	Asb5	ankyrin repeat and SOCs box-containing 5 [Source:MGI Symbol;Acc:MGI:1923544]
Zranb2	ENSMUSG00000028180	Q9R020	MGI:1858211	Zranb2	zinc finger, RAN-binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1858211]
Isl2	ENSMUSG00000032318		MGI:109156	Isl2	insulin related protein 2 (islet 2) [Source:MGI Symbol;Acc:MGI:109156]
Rara	ENSMUSG00000037992	P11416	MGI:97856	Rara	retinoic acid receptor, alpha [Source:MGI Symbol;Acc:MGI:97856]
Spata4	ENSMUSG00000031518	Q8K3V1	MGI:1916531	Spata4	spermatogenesis associated 4 [Source:MGI Symbol;Acc:MGI:1916531]
Isl2	ENSMUSG00000032318	Q9CXV0	MGI:109156	Isl2	insulin related protein 2 (islet 2) [Source:MGI Symbol;Acc:MGI:109156]
Mars1	ENSMUSG00000040354	Q68FL6	MGI:1345633	Mars1	methionine-tRNA synthetase 1 [Source:MGI Symbol;Acc:MGI:1345633]
Dact1	ENSMUSG00000044548	Q8R4A3	MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1 [Source:MGI Symbol;Acc:MGI:1891740]
Ankrd33b	ENSMUSG00000022237	Q3U0L2	MGI:1917904	Ankrd33b	ankyrin repeat domain 33B [Source:MGI Symbol;Acc:MGI:1917904]
Mars1	ENSMUSG00000040354		MGI:1345633	Mars1	methionine-tRNA synthetase 1 [Source:MGI Symbol;Acc:MGI:1345633]
Dact1	ENSMUSG00000044548		MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1 [Source:MGI Symbol;Acc:MGI:1891740]
Zranb2	ENSMUSG00000028180		MGI:1858211	Zranb2	zinc finger, RAN-binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1858211]
Ankrd33b	ENSMUSG00000022237		MGI:1917904	Ankrd33b	ankyrin repeat domain 33B [Source:MGI Symbol;Acc:MGI:1917904]
Gjd3	ENSMUSG00000047197	Q91YD1	MGI:2384150	Gjd3	gap junction protein, delta 3 [Source:MGI Symbol;Acc:MGI:2384150]
Stimate	ENSMUSG00000006526	Q3UF25	MGI:1921500	Stimate	STIM activating enhancer [Source:MGI Symbol;Acc:MGI:1921500]
Stimate	ENSMUSG00000006526		MGI:1921500	Stimate	STIM activating enhancer [Source:MGI Symbol;Acc:MGI:1921500]
Hk2	ENSMUSG00000000628	O08528	MGI:1315197	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
Hk2	ENSMUSG00000000628		MGI:1315197	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
Esam	ENSMUSG00000001946	Q925F2	MGI:1916774	Esam	endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]
Mustn1	ENSMUSG00000042485	Q99JI1	MGI:1913425	Mustn1	musculoskeletal, embryonic nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1913425]
Ptger3	ENSMUSG00000040016		MGI:97795	Ptger3	prostaglandin E receptor 3 (subtype EP3) [Source:MGI Symbol;Acc:MGI:97795]
Ropn1l	ENSMUSG00000022236	Q9EQ00	MGI:2182357	Ropn1l	ropporin 1-like [Source:MGI Symbol;Acc:MGI:2182357]
Esam	ENSMUSG00000001946		MGI:1916774	Esam	endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]
Intu	ENSMUSG00000060798	Q059U7	MGI:2443752	Intu	inturned planar cell polarity protein [Source:MGI Symbol;Acc:MGI:2443752]
Arhgap19	ENSMUSG00000025154	Q8BRH3	MGI:1918335	Arhgap19	Rho GTPase activating protein 19 [Source:MGI Symbol;Acc:MGI:1918335]
Arhgap19	ENSMUSG00000025154		MGI:1918335	Arhgap19	Rho GTPase activating protein 19 [Source:MGI Symbol;Acc:MGI:1918335]
Frat1	ENSMUSG00000067199	P70339	MGI:109450	Frat1	frequently rearranged in advanced T cell lymphomas [Source:MGI Symbol;Acc:MGI:109450]
Frat2	ENSMUSG00000047604	Q8K025	MGI:2673967	Frat2	frequently rearranged in advanced T cell lymphomas 2 [Source:MGI Symbol;Acc:MGI:2673967]
Chmp7	ENSMUSG00000034190	Q8R1T1	MGI:1913922	Chmp7	charged multivesicular body protein 7 [Source:MGI Symbol;Acc:MGI:1913922]
Top2a	ENSMUSG00000020914	Q01320	MGI:98790	Top2a	topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790]
Trip11	ENSMUSG00000021188		MGI:1924393	Trip11	thyroid hormone receptor interactor 11 [Source:MGI Symbol;Acc:MGI:1924393]
Acr	ENSMUSG00000022622	P23578	MGI:87884	Acr	acrosin prepropeptide [Source:MGI Symbol;Acc:MGI:87884]
Acr	ENSMUSG00000022622		MGI:87884	Acr	acrosin prepropeptide [Source:MGI Symbol;Acc:MGI:87884]
Ttc3	ENSMUSG00000040785		MGI:1276539	Ttc3	tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539]
Tnfrsf10b	ENSMUSG00000022074	Q9QZM4	MGI:1341090	Tnfrsf10b	tumor necrosis factor receptor superfamily, member 10b [Source:MGI Symbol;Acc:MGI:1341090]
Intu	ENSMUSG00000060798		MGI:2443752	Intu	inturned planar cell polarity protein [Source:MGI Symbol;Acc:MGI:2443752]
Vsig2	ENSMUSG00000001943	Q9Z109	MGI:1928009	Vsig2	V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]
Vsig2	ENSMUSG00000001943		MGI:1928009	Vsig2	V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]
Qsox1	ENSMUSG00000033684	Q8BND5	MGI:1330818	Qsox1	quiescin Q6 sulfhydryl oxidase 1 [Source:MGI Symbol;Acc:MGI:1330818]
Fcsk	ENSMUSG00000033703		MGI:1916071	Fcsk	fucose kinase [Source:MGI Symbol;Acc:MGI:1916071]
Rnf44	ENSMUSG00000034928		MGI:2145310	Rnf44	ring finger protein 44 [Source:MGI Symbol;Acc:MGI:2145310]
Nrgn	ENSMUSG00000053310	P60761	MGI:1927184	Nrgn	neurogranin [Source:MGI Symbol;Acc:MGI:1927184]
Akap13	ENSMUSG00000066406		MGI:2676556	Akap13	A kinase anchor protein 13 [Source:MGI Symbol;Acc:MGI:2676556]
Rhobtb2	ENSMUSG00000022075	Q91V93	MGI:2180557	Rhobtb2	Rho-related BTB domain containing 2 [Source:MGI Symbol;Acc:MGI:2180557]
Rrp12	ENSMUSG00000035049	Q6P5B0	MGI:2147437	Rrp12	ribosomal RNA processing 12 homolog [Source:MGI Symbol;Acc:MGI:2147437]
Pebp4	ENSMUSG00000022085	Q9D9G2	MGI:1920773	Pebp4	phosphatidylethanolamine binding protein 4 [Source:MGI Symbol;Acc:MGI:1920773]
Pgam1	ENSMUSG00000011752	Q9DBJ1	MGI:97552	Pgam1	phosphoglycerate mutase 1 [Source:MGI Symbol;Acc:MGI:97552]
Egr3	ENSMUSG00000033730		MGI:1306780	Egr3	early growth response 3 [Source:MGI Symbol;Acc:MGI:1306780]
Egr3	ENSMUSG00000033730	P43300	MGI:1306780	Egr3	early growth response 3 [Source:MGI Symbol;Acc:MGI:1306780]
Fcsk	ENSMUSG00000033703	Q7TMC8	MGI:1916071	Fcsk	fucose kinase [Source:MGI Symbol;Acc:MGI:1916071]
Akap13	ENSMUSG00000066406	E9Q394	MGI:2676556	Akap13	A kinase anchor protein 13 [Source:MGI Symbol;Acc:MGI:2676556]
Cops3	ENSMUSG00000019373	O88543	MGI:1349409	Cops3	COP9 signalosome subunit 3 [Source:MGI Symbol;Acc:MGI:1349409]
Vps39	ENSMUSG00000027291	Q8R5L3	MGI:2443189	Vps39	VPS39 HOPS complex subunit [Source:MGI Symbol;Acc:MGI:2443189]
Cops3	ENSMUSG00000019373		MGI:1349409	Cops3	COP9 signalosome subunit 3 [Source:MGI Symbol;Acc:MGI:1349409]
Slc45a4	ENSMUSG00000079020	Q0P5V9	MGI:2146236	Slc45a4	solute carrier family 45, member 4 [Source:MGI Symbol;Acc:MGI:2146236]
Slc45a4	ENSMUSG00000079020		MGI:2146236	Slc45a4	solute carrier family 45, member 4 [Source:MGI Symbol;Acc:MGI:2146236]
Myom1	ENSMUSG00000024049	Q62234	MGI:1341430	Myom1	myomesin 1 [Source:MGI Symbol;Acc:MGI:1341430]
Bin3	ENSMUSG00000022089	Q9JI08	MGI:1929883	Bin3	bridging integrator 3 [Source:MGI Symbol;Acc:MGI:1929883]
Exosc1	ENSMUSG00000034321	Q9DAA6	MGI:1913833	Exosc1	exosome component 1 [Source:MGI Symbol;Acc:MGI:1913833]
Rnf44	ENSMUSG00000034928	Q3UHJ8	MGI:2145310	Rnf44	ring finger protein 44 [Source:MGI Symbol;Acc:MGI:2145310]
Bin3	ENSMUSG00000022089		MGI:1929883	Bin3	bridging integrator 3 [Source:MGI Symbol;Acc:MGI:1929883]
St3gal2	ENSMUSG00000031749		MGI:99427	St3gal2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:99427]
Gpr20	ENSMUSG00000045281	Q8BYC4	MGI:2441803	Gpr20	G protein-coupled receptor 20 [Source:MGI Symbol;Acc:MGI:2441803]
St3gal2	ENSMUSG00000031749	Q11204	MGI:99427	St3gal2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:99427]
Zdhhc16	ENSMUSG00000025157		MGI:1921418	Zdhhc16	zinc finger, DHHC domain containing 16 [Source:MGI Symbol;Acc:MGI:1921418]
Hace1	ENSMUSG00000038822	Q3U0D9	MGI:2446110	Hace1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2446110]
Igfbp4	ENSMUSG00000017493	P47879	MGI:96439	Igfbp4	insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]
Igfbp4	ENSMUSG00000017493		MGI:96439	Igfbp4	insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]
Hace1	ENSMUSG00000038822		MGI:2446110	Hace1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2446110]
Ddx19a	ENSMUSG00000015023	Q61655	MGI:99526	Ddx19a	DEAD box helicase 19a [Source:MGI Symbol;Acc:MGI:99526]
Zdhhc16	ENSMUSG00000025157	Q9ESG8	MGI:1921418	Zdhhc16	zinc finger, DHHC domain containing 16 [Source:MGI Symbol;Acc:MGI:1921418]
Crppa	ENSMUSG00000043153	Q5RJG7	MGI:1923097	Crppa	CDP-L-ribitol pyrophosphorylase A [Source:MGI Symbol;Acc:MGI:1923097]
Ccar2	ENSMUSG00000033712	Q8VDP4	MGI:2444228	Ccar2	cell cycle activator and apoptosis regulator 2 [Source:MGI Symbol;Acc:MGI:2444228]
Nt5m	ENSMUSG00000032615	Q8VCE6	MGI:1917127	Nt5m	5',3'-nucleotidase, mitochondrial [Source:MGI Symbol;Acc:MGI:1917127]
Crppa	ENSMUSG00000043153		MGI:1923097	Crppa	CDP-L-ribitol pyrophosphorylase A [Source:MGI Symbol;Acc:MGI:1923097]
Ythdf1	ENSMUSG00000038848	P59326	MGI:1917431	Ythdf1	YTH N6-methyladenosine RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1917431]
Ythdf1	ENSMUSG00000038848		MGI:1917431	Ythdf1	YTH N6-methyladenosine RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1917431]
Marchf6	ENSMUSG00000039100	Q6ZQ89	MGI:2442773	Marchf6	membrane associated ring-CH-type finger 6 [Source:MGI Symbol;Acc:MGI:2442773]
Tns4	ENSMUSG00000017607	Q8BZ33	MGI:2144377	Tns4	tensin 4 [Source:MGI Symbol;Acc:MGI:2144377]
Birc7	ENSMUSG00000038840	A2AWP0	MGI:2676458	Birc7	baculoviral IAP repeat-containing 7 [Source:MGI Symbol;Acc:MGI:2676458]
Lpin2	ENSMUSG00000024052	Q99PI5	MGI:1891341	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]
Kcnab2	ENSMUSG00000028931		MGI:109239	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2 [Source:MGI Symbol;Acc:MGI:109239]
Scaper	ENSMUSG00000034007		MGI:1925976	Scaper	S phase cyclin A-associated protein in the ER [Source:MGI Symbol;Acc:MGI:1925976]
9930012K11Rik	ENSMUSG00000044551	Q66JV7	MGI:2145726	9930012K11Rik	RIKEN cDNA 9930012K11 gene [Source:MGI Symbol;Acc:MGI:2145726]
Nkain4	ENSMUSG00000027574		MGI:1915372	Nkain4	Na+/K+ transporting ATPase interacting 4 [Source:MGI Symbol;Acc:MGI:1915372]
Kcnab2	ENSMUSG00000028931	P62482	MGI:109239	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2 [Source:MGI Symbol;Acc:MGI:109239]
9930012K11Rik	ENSMUSG00000044551		MGI:2145726	9930012K11Rik	RIKEN cDNA 9930012K11 gene [Source:MGI Symbol;Acc:MGI:2145726]
Rabl2	ENSMUSG00000022621	E9Q9D5	MGI:1915958	Rabl2	RAB, member RAS oncogene family-like 2 [Source:MGI Symbol;Acc:MGI:1915958]
Rabl2	ENSMUSG00000022621		MGI:1915958	Rabl2	RAB, member RAS oncogene family-like 2 [Source:MGI Symbol;Acc:MGI:1915958]
Lpin2	ENSMUSG00000024052		MGI:1891341	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]
Arhgap9	ENSMUSG00000040345		MGI:2143764	Arhgap9	Rho GTPase activating protein 9 [Source:MGI Symbol;Acc:MGI:2143764]
Arb2a	ENSMUSG00000064138	Q3TNH5	MGI:1915925	Arb2a	ARB2 cotranscriptional regulator A [Source:MGI Symbol;Acc:MGI:1915925]
Dennd2b	ENSMUSG00000031024	Q924W7	MGI:108517	Dennd2b	DENN domain containing 2B [Source:MGI Symbol;Acc:MGI:108517]
Syt10	ENSMUSG00000063260	Q9R0N4	MGI:1859546	Syt10	synaptotagmin X [Source:MGI Symbol;Acc:MGI:1859546]
Arb2a	ENSMUSG00000064138		MGI:1915925	Arb2a	ARB2 cotranscriptional regulator A [Source:MGI Symbol;Acc:MGI:1915925]
Nkain4	ENSMUSG00000027574	Q9JMG4	MGI:1915372	Nkain4	Na+/K+ transporting ATPase interacting 4 [Source:MGI Symbol;Acc:MGI:1915372]
Atxn3	ENSMUSG00000021189	Q9CVD2	MGI:1099442	Atxn3	ataxin 3 [Source:MGI Symbol;Acc:MGI:1099442]
Atxn3	ENSMUSG00000021189		MGI:1099442	Atxn3	ataxin 3 [Source:MGI Symbol;Acc:MGI:1099442]
Pdlim2	ENSMUSG00000022090	Q8R1G6	MGI:2384850	Pdlim2	PDZ and LIM domain 2 [Source:MGI Symbol;Acc:MGI:2384850]
Alg10b	ENSMUSG00000075470	Q3UGP8	MGI:2146159	Alg10b	ALG10 alpha-1,2-glucosyltransferase [Source:MGI Symbol;Acc:MGI:2146159]
Alg10b	ENSMUSG00000075470		MGI:2146159	Alg10b	ALG10 alpha-1,2-glucosyltransferase [Source:MGI Symbol;Acc:MGI:2146159]
Pdlim2	ENSMUSG00000022090		MGI:2384850	Pdlim2	PDZ and LIM domain 2 [Source:MGI Symbol;Acc:MGI:2384850]
Dennd2b	ENSMUSG00000031024		MGI:108517	Dennd2b	DENN domain containing 2B [Source:MGI Symbol;Acc:MGI:108517]
