"HGNC_join","external_gene_name","ensembl_gene_id","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","Group","Family","SubFamily","ensembl"
"CSK","CSK","ENSG00000103653","C-terminal Src kinase","Csk family tyrosine kinases","Y","N","N","HGNC:2444","CSK","TK","Csk",NA,NA,NA,NA,NA
"CSNK1A1","CSNK1A1","ENSG00000113712","casein kinase 1 alpha 1","Casein kinase 1 family","Y","N","N","HGNC:2451","CSNK1A1",NA,NA,NA,NA,NA,NA,NA
"CSNK1A1L","CSNK1A1L","ENSG00000180138","casein kinase 1 alpha 1 like","Casein kinase 1 family","Y","N","N","HGNC:20289","CSNK1A1L",NA,NA,NA,NA,NA,NA,NA
"CSNK1D","CSNK1D","ENSG00000141551","casein kinase 1 delta","Casein kinase 1 family","Y","N","N","HGNC:2452","CSNK1D",NA,NA,NA,NA,NA,NA,NA
"CSNK1E","CSNK1E","ENSG00000213923","casein kinase 1 epsilon","Casein kinase 1 family","Y","N","N","HGNC:2453","CSNK1E",NA,NA,NA,NA,NA,NA,NA
"CSNK1G1","CSNK1G1","ENSG00000169118","casein kinase 1 gamma 1","Casein kinase 1 family","Y","N","N","HGNC:2454","CSNK1G1",NA,NA,NA,NA,NA,NA,NA
"CSNK1G2","CSNK1G2","ENSG00000133275","casein kinase 1 gamma 2","Casein kinase 1 family","Y","N","N","HGNC:2455","CSNK1G2",NA,NA,NA,NA,NA,NA,NA
"CSNK1G3","CSNK1G3","ENSG00000151292","casein kinase 1 gamma 3","Casein kinase 1 family","Y","N","N","HGNC:2456","CSNK1G3",NA,NA,NA,NA,NA,NA,NA
"CSNK2A1","CSNK2A1","ENSG00000101266","casein kinase 2 alpha 1",NA,"N","N","N","HGNC:2457","CSNK2A1",NA,NA,NA,NA,NA,NA,NA
"CSNK2A2","CSNK2A2","ENSG00000070770","casein kinase 2 alpha 2",NA,"N","N","N","HGNC:2459","CSNK2A2",NA,NA,NA,NA,NA,NA,NA
"CSNK2A3","CSNK2A3","ENSG00000254598","casein kinase 2 alpha 3",NA,"N","N","N","HGNC:2458","CSNK2A3",NA,NA,NA,NA,NA,NA,NA
"CSNK2B","CSNK2B","ENSG00000204435","casein kinase 2 beta",NA,"N","N","N","HGNC:2460","CSNK2B",NA,NA,NA,NA,NA,NA,NA
"DAPK1","DAPK1","ENSG00000196730","death associated protein kinase 1","Death associated protein kinases","Y","N","N","HGNC:2674","DAPK1","CAMK","DAPK",NA,NA,NA,NA,NA
"DAPK2","DAPK2","ENSG00000035664","death associated protein kinase 2","Death associated protein kinases","Y","N","N","HGNC:2675","DAPK2","CAMK","DAPK",NA,NA,NA,NA,NA
"DAPK3","DAPK3","ENSG00000167657","death associated protein kinase 3","Death associated protein kinases","Y","N","N","HGNC:2676","DAPK3","CAMK","DAPK",NA,NA,NA,NA,NA
"DCAF1","DCAF1","ENSG00000145041","DDB1 and CUL4 associated factor 1",NA,"N","N","N","HGNC:30911","DCAF1",NA,NA,NA,NA,NA,NA,NA
"DCK","DCK","ENSG00000156136","deoxycytidine kinase","Deoxyribonucleoside kinases","Y","Y","N","HGNC:2704","DCK",NA,NA,NA,NA,NA,NA,NA
"DCLK1","DCLK1","ENSG00000133083","doublecortin like kinase 1","Doublecortin like kinase family","Y","N","N","HGNC:2700","DCLK1",NA,NA,NA,NA,NA,NA,NA
"DCLK2","DCLK2","ENSG00000170390","doublecortin like kinase 2","Doublecortin like kinase family","Y","N","N","HGNC:19002","DCLK2",NA,NA,NA,NA,NA,NA,NA
"DCLK3","DCLK3","ENSG00000163673","doublecortin like kinase 3","Doublecortin like kinase family","Y","N","N","HGNC:19005","DCLK3",NA,NA,NA,NA,NA,NA,NA
"DDR1","DDR1","ENSG00000137332","discoidin domain receptor tyrosine kinase 1","Receptor tyrosine kinases","Y","N","N","HGNC:2730","DDR1","TK","DDR",NA,NA,NA,NA,NA
"DDR2","DDR2","ENSG00000162733","discoidin domain receptor tyrosine kinase 2","Receptor tyrosine kinases","Y","N","N","HGNC:2731","DDR2","TK","DDR",NA,NA,NA,NA,NA
"DGKA","DGKA","ENSG00000065357","diacylglycerol kinase alpha","Diacylglycerol kinases","Y","Y","Y","HGNC:2849","DGKA",NA,NA,NA,NA,NA,NA,NA
"DGKB","DGKB","ENSG00000136267","diacylglycerol kinase beta","Diacylglycerol kinases","Y","Y","Y","HGNC:2850","DGKB",NA,NA,NA,NA,NA,NA,NA
"DGKD","DGKD","ENSG00000077044","diacylglycerol kinase delta","Diacylglycerol kinases","Y","Y","Y","HGNC:2851","DGKD",NA,NA,NA,NA,NA,NA,NA
"DGKE","DGKE","ENSG00000153933","diacylglycerol kinase epsilon","Diacylglycerol kinases","Y","Y","Y","HGNC:2852","DGKE",NA,NA,NA,NA,NA,NA,NA
"DGKG","DGKG","ENSG00000058866","diacylglycerol kinase gamma","Diacylglycerol kinases","Y","Y","Y","HGNC:2853","DGKG",NA,NA,NA,NA,NA,NA,NA
"DGKH","DGKH","ENSG00000102780","diacylglycerol kinase eta","Diacylglycerol kinases","Y","Y","Y","HGNC:2854","DGKH",NA,NA,NA,NA,NA,NA,NA
"DGKI","DGKI","ENSG00000157680","diacylglycerol kinase iota","Diacylglycerol kinases","Y","Y","Y","HGNC:2855","DGKI",NA,NA,NA,NA,NA,NA,NA
"DGKK","DGKK","ENSG00000274588","diacylglycerol kinase kappa","Diacylglycerol kinases","Y","Y","Y","HGNC:32395","DGKK",NA,NA,NA,NA,NA,NA,NA
"DGKQ","DGKQ","ENSG00000145214","diacylglycerol kinase theta","Diacylglycerol kinases","Y","Y","Y","HGNC:2856","DGKQ",NA,NA,NA,NA,NA,NA,NA
"DGKZ","DGKZ","ENSG00000149091","diacylglycerol kinase zeta","Diacylglycerol kinases","Y","Y","Y","HGNC:2857","DGKZ",NA,NA,NA,NA,NA,NA,NA
"DGUOK","DGUOK","ENSG00000114956","deoxyguanosine kinase","Deoxyribonucleoside kinases","Y","Y","N","HGNC:2858","DGUOK",NA,NA,NA,NA,NA,NA,NA
"DMPK","DMPK","ENSG00000104936","DM1 protein kinase","DMPK kinase family","Y","N","N","HGNC:2933","DMPK","AGC","DMPK","GEK",NA,NA,NA,NA
"DOLK","DOLK","ENSG00000175283","dolichol kinase",NA,"N","N","N","HGNC:23406","DOLK",NA,NA,NA,NA,NA,NA,NA
"DSTYK","DSTYK","ENSG00000133059","dual serine/threonine and tyrosine protein kinase",NA,"N","N","N","HGNC:29043","DSTYK",NA,NA,NA,NA,NA,NA,NA
"DTYMK","DTYMK","ENSG00000168393","deoxythymidylate kinase",NA,"N","Y","N","HGNC:3061","DTYMK",NA,NA,NA,NA,NA,NA,NA
"DYRK1A","DYRK1A","ENSG00000157540","dual specificity tyrosine phosphorylation regulated kinase 1A","Dual-specificity tyrosine-regulated kinase family","Y","N","N","HGNC:3091","DYRK1A","CMGC","DYRK","Dyrk1",NA,NA,NA,NA
"DYRK1B","DYRK1B","ENSG00000105204","dual specificity tyrosine phosphorylation regulated kinase 1B","Dual-specificity tyrosine-regulated kinase family","Y","N","N","HGNC:3092","DYRK1B","CMGC","DYRK","Dyrk1",NA,NA,NA,NA
"DYRK2","DYRK2","ENSG00000127334","dual specificity tyrosine phosphorylation regulated kinase 2","Dual-specificity tyrosine-regulated kinase family","Y","N","N","HGNC:3093","DYRK2","CMGC","DYRK","Dyrk2",NA,NA,NA,NA
"DYRK3","DYRK3","ENSG00000143479","dual specificity tyrosine phosphorylation regulated kinase 3","Dual-specificity tyrosine-regulated kinase family","Y","N","N","HGNC:3094","DYRK3","CMGC","DYRK","Dyrk2",NA,NA,NA,NA
"DYRK4","DYRK4","ENSG00000010219","dual specificity tyrosine phosphorylation regulated kinase 4","Dual-specificity tyrosine-regulated kinase family","Y","N","N","HGNC:3095","DYRK4","CMGC","DYRK","Dyrk2",NA,NA,NA,NA
"EEF2K","EEF2K","ENSG00000103319","eukaryotic elongation factor 2 kinase",NA,"N","N","N","HGNC:24615","EEF2K","Atypical","Alpha","eEF2K",NA,NA,NA,NA
"EGFR","EGFR","ENSG00000146648","epidermal growth factor receptor","Erb-b2 receptor tyrosine kinases","Y","Y","N","HGNC:3236","EGFR","TK","EGFR",NA,NA,NA,NA,NA
"EIF2AK1","EIF2AK1","ENSG00000086232","eukaryotic translation initiation factor 2 alpha kinase 1","Eukaryotic translation initiation factor 2 alpha kinases","Y","N","N","HGNC:24921","EIF2AK1",NA,NA,NA,NA,NA,NA,NA
"EIF2AK2","EIF2AK2","ENSG00000055332","eukaryotic translation initiation factor 2 alpha kinase 2","Eukaryotic translation initiation factor 2 alpha kinases","Y","N","N","HGNC:9437","EIF2AK2",NA,NA,NA,NA,NA,NA,NA
"EIF2AK3","EIF2AK3","ENSG00000172071","eukaryotic translation initiation factor 2 alpha kinase 3","Eukaryotic translation initiation factor 2 alpha kinases","Y","N","Y","HGNC:3255","EIF2AK3",NA,NA,NA,NA,NA,NA,NA
"EIF2AK4","EIF2AK4","ENSG00000128829","eukaryotic translation initiation factor 2 alpha kinase 4","Eukaryotic translation initiation factor 2 alpha kinases","Y","N","N","HGNC:19687","EIF2AK4",NA,NA,NA,NA,NA,NA,NA
"EPHA1","EPHA1","ENSG00000146904","EPH receptor A1",NA,"N","N","N","HGNC:3385","EPHA1","TK","Eph",NA,NA,NA,NA,NA
"EPHA10","EPHA10","ENSG00000183317","EPH receptor A10",NA,"N","N","N","HGNC:19987","EPHA10","TK","Eph",NA,NA,NA,NA,NA
"EPHA2","EPHA2","ENSG00000142627","EPH receptor A2",NA,"N","N","N","HGNC:3386","EPHA2","TK","Eph",NA,NA,NA,NA,NA
"EPHA3","EPHA3","ENSG00000044524","EPH receptor A3",NA,"N","N","N","HGNC:3387","EPHA3","TK","Eph",NA,NA,NA,NA,NA
"EPHA4","EPHA4","ENSG00000116106","EPH receptor A4",NA,"N","N","N","HGNC:3388","EPHA4","TK","Eph",NA,NA,NA,NA,NA
"EPHA5","EPHA5","ENSG00000145242","EPH receptor A5",NA,"N","N","N","HGNC:3389","EPHA5","TK","Eph",NA,NA,NA,NA,NA
"EPHA6","EPHA6","ENSG00000080224","EPH receptor A6",NA,"N","N","N","HGNC:19296","EPHA6","TK","Eph",NA,NA,NA,NA,NA
"EPHA7","EPHA7","ENSG00000135333","EPH receptor A7",NA,"N","N","N","HGNC:3390","EPHA7","TK","Eph",NA,NA,NA,NA,NA
"EPHA8","EPHA8","ENSG00000070886","EPH receptor A8",NA,"N","N","N","HGNC:3391","EPHA8","TK","Eph",NA,NA,NA,NA,NA
"EPHB1","EPHB1","ENSG00000154928","EPH receptor B1",NA,"N","N","N","HGNC:3392","EPHB1","TK","Eph",NA,NA,NA,NA,NA
"EPHB2","EPHB2","ENSG00000133216","EPH receptor B2",NA,"N","N","N","HGNC:3393","EPHB2","TK","Eph",NA,NA,NA,NA,NA
"EPHB3","EPHB3","ENSG00000182580","EPH receptor B3",NA,"N","N","N","HGNC:3394","EPHB3","TK","Eph",NA,NA,NA,NA,NA
"EPHB4","EPHB4","ENSG00000196411","EPH receptor B4",NA,"N","N","N","HGNC:3395","EPHB4","TK","Eph",NA,NA,NA,NA,NA
"EPHB6","EPHB6","ENSG00000106123","EPH receptor B6",NA,"N","N","N","HGNC:3396","EPHB6","TK","Eph",NA,NA,NA,NA,NA
"EPS8L1","EPS8L1","ENSG00000131037","EPS8 signaling adaptor L1",NA,"N","N","N","HGNC:21295","EPS8L1",NA,NA,NA,NA,NA,NA,NA
"ERBB2","ERBB2","ENSG00000141736","erb-b2 receptor tyrosine kinase 2","Erb-b2 receptor tyrosine kinases","Y","Y","N","HGNC:3430","ERBB2",NA,NA,NA,NA,NA,NA,NA
"ERBB3","ERBB3","ENSG00000065361","erb-b2 receptor tyrosine kinase 3","Erb-b2 receptor tyrosine kinases","Y","N","N","HGNC:3431","ERBB3",NA,NA,NA,NA,NA,NA,NA
"ERBB4","ERBB4","ENSG00000178568","erb-b2 receptor tyrosine kinase 4","Erb-b2 receptor tyrosine kinases","Y","N","N","HGNC:3432","ERBB4",NA,NA,NA,NA,NA,NA,NA
"ERN1","ERN1","ENSG00000178607","endoplasmic reticulum to nucleus signaling 1",NA,"N","N","Y","HGNC:3449","ERN1",NA,NA,NA,NA,NA,NA,NA
"ERN2","ERN2","ENSG00000134398","endoplasmic reticulum to nucleus signaling 2",NA,"N","N","N","HGNC:16942","ERN2",NA,NA,NA,NA,NA,NA,NA
"ETNK1","ETNK1","ENSG00000139163","ethanolamine kinase 1","Ethanolamine kinase family","Y","Y","Y","HGNC:24649","ETNK1",NA,NA,NA,NA,NA,NA,NA
"ETNK2","ETNK2","ENSG00000143845","ethanolamine kinase 2","Ethanolamine kinase family","Y","Y","Y","HGNC:25575","ETNK2",NA,NA,NA,NA,NA,NA,NA
"FAM20B","FAM20B","ENSG00000116199","FAM20B glycosaminoglycan xylosylkinase","Golgi associated kinase family","Y","N","N","HGNC:23017","FAM20B",NA,NA,NA,NA,NA,NA,NA
"FAM20C","FAM20C","ENSG00000177706","FAM20C golgi associated secretory pathway kinase","Golgi associated kinase family","Y","N","N","HGNC:22140","FAM20C",NA,NA,NA,NA,NA,NA,NA
"FASTK","FASTK","ENSG00000164896","Fas activated serine/threonine kinase",NA,"N","N","N","HGNC:24676","FASTK","Atypical","FAST",NA,NA,NA,NA,NA
"FCSK","FCSK","ENSG00000157353","fucose kinase",NA,"N","Y","N","HGNC:29500","FCSK",NA,NA,NA,NA,NA,NA,NA
"FER","FER","ENSG00000151422","FER tyrosine kinase","Fes family tyrosine kinases","Y","N","N","HGNC:3655","FER","TK","Fer",NA,NA,NA,NA,NA
"FES","FES","ENSG00000182511","FES proto-oncogene, tyrosine kinase","Fes family tyrosine kinases","Y","N","N","HGNC:3657","FES","TK","Fer",NA,NA,NA,NA,NA
"FGFR1","FGFR1","ENSG00000077782","fibroblast growth factor receptor 1","Receptor tyrosine kinases","Y","Y","N","HGNC:3688","FGFR1","TK","FGFR",NA,NA,NA,NA,NA
"FGFR2","FGFR2","ENSG00000066468","fibroblast growth factor receptor 2","Receptor tyrosine kinases","Y","Y","N","HGNC:3689","FGFR2","TK","FGFR",NA,NA,NA,NA,NA
"FGFR3","FGFR3","ENSG00000068078","fibroblast growth factor receptor 3","Receptor tyrosine kinases","Y","Y","N","HGNC:3690","FGFR3","TK","FGFR",NA,NA,NA,NA,NA
"FGFR4","FGFR4","ENSG00000160867","fibroblast growth factor receptor 4","Receptor tyrosine kinases","Y","N","N","HGNC:3691","FGFR4","TK","FGFR",NA,NA,NA,NA,NA
"FGGY","FGGY","ENSG00000172456","FGGY carbohydrate kinase domain containing",NA,"N","N","N","HGNC:25610","FGGY",NA,NA,NA,NA,NA,NA,NA
"FGR","FGR","ENSG00000000938","FGR proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:3697","FGR","TK","Src",NA,NA,NA,NA,NA
"FLT1","FLT1","ENSG00000102755","fms related receptor tyrosine kinase 1","Receptor tyrosine kinases","Y","N","N","HGNC:3763","FLT1","TK","VEGFR",NA,NA,NA,NA,NA
"FLT3","FLT3","ENSG00000122025","fms related receptor tyrosine kinase 3","Receptor tyrosine kinases","Y","Y","N","HGNC:3765","FLT3","TK","PDGFR",NA,NA,NA,NA,NA
"FLT4","FLT4","ENSG00000037280","fms related receptor tyrosine kinase 4","Receptor tyrosine kinases","Y","N","N","HGNC:3767","FLT4","TK","VEGFR",NA,NA,NA,NA,NA
"FN3K","FN3K","ENSG00000167363","fructosamine 3 kinase",NA,"N","N","N","HGNC:24822","FN3K",NA,NA,NA,NA,NA,NA,NA
"FN3KRP","FN3KRP","ENSG00000141560","fructosamine 3 kinase related protein",NA,"N","N","N","HGNC:25700","FN3KRP",NA,NA,NA,NA,NA,NA,NA
"FPGT-TNNI3K","FPGT-TNNI3K","ENSG00000259030","FPGT-TNNI3K readthrough",NA,"N","N","N","HGNC:42952","FPGT-TNNI3K",NA,NA,NA,NA,NA,NA,NA
"FRK","FRK","ENSG00000111816","fyn related Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:3955","FRK","TK","Src",NA,NA,NA,NA,NA
"FYN","FYN","ENSG00000010810","FYN proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","Y","HGNC:4037","FYN","TK","Src",NA,NA,NA,NA,NA
"G6PC1","G6PC1","ENSG00000131482","glucose-6-phosphatase catalytic subunit 1",NA,"N","Y","N","HGNC:4056","G6PC1",NA,NA,NA,NA,NA,NA,NA
"GAK","GAK","ENSG00000178950","cyclin G associated kinase",NA,"N","N","N","HGNC:4113","GAK","Other","NAK",NA,NA,NA,NA,NA
"GALK1","GALK1","ENSG00000108479","galactokinase 1",NA,"N","Y","N","HGNC:4118","GALK1",NA,NA,NA,NA,NA,NA,NA
"GALK2","GALK2","ENSG00000156958","galactokinase 2",NA,"N","Y","N","HGNC:4119","GALK2",NA,NA,NA,NA,NA,NA,NA
"GCK","GCK","ENSG00000106633","glucokinase","Hexokinase family","Y","Y","N","HGNC:4195","GCK","STE","STE20","KHS",NA,NA,NA,NA
"GCKR","GCKR","ENSG00000084734","glucokinase regulator",NA,"N","N","N","HGNC:4196","GCKR","STE","STE20","KHS",NA,NA,NA,NA
"GIT2","GIT2","ENSG00000139436","GIT ArfGAP 2",NA,"N","N","N","HGNC:4273","GIT2",NA,NA,NA,NA,NA,NA,NA
"GK","GK","ENSG00000198814","glycerol kinase","Glycerol kinase family","Y","Y","Y","HGNC:4289","GK",NA,NA,NA,NA,NA,NA,NA
"GK2","GK2","ENSG00000196475","glycerol kinase 2","Glycerol kinase family","Y","Y","Y","HGNC:4291","GK2",NA,NA,NA,NA,NA,NA,NA
"GK3","GK3","ENSG00000229894","glycerol kinase 3","Glycerol kinase family","Y","Y","Y","HGNC:4292","GK3",NA,NA,NA,NA,NA,NA,NA
"GK5","GK5","ENSG00000175066","glycerol kinase 5","Glycerol kinase family","Y","N","N","HGNC:28635","GK5",NA,NA,NA,NA,NA,NA,NA
"GKAP1","GKAP1","ENSG00000165113","G kinase anchoring protein 1",NA,"N","N","N","HGNC:17496","GKAP1",NA,NA,NA,NA,NA,NA,NA
"GLYCTK","GLYCTK","ENSG00000168237","glycerate kinase",NA,"N","Y","Y","HGNC:24247","GLYCTK",NA,NA,NA,NA,NA,NA,NA
"GNE","GNE","ENSG00000159921","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase",NA,"N","Y","N","HGNC:23657","GNE",NA,NA,NA,NA,NA,NA,NA
"GRK1","GRK1","ENSG00000185974","G protein-coupled receptor kinase 1","G protein-coupled receptor kinase family","Y","N","N","HGNC:10013","GRK1",NA,NA,NA,NA,NA,NA,NA
"GRK2","GRK2","ENSG00000173020","G protein-coupled receptor kinase 2","G protein-coupled receptor kinase family","Y","N","N","HGNC:289","GRK2",NA,NA,NA,NA,NA,NA,NA
"GRK3","GRK3","ENSG00000100077","G protein-coupled receptor kinase 3","G protein-coupled receptor kinase family","Y","N","N","HGNC:290","GRK3",NA,NA,NA,NA,NA,NA,NA
"GRK4","GRK4","ENSG00000125388","G protein-coupled receptor kinase 4","G protein-coupled receptor kinase family","Y","N","N","HGNC:4543","GRK4",NA,NA,NA,NA,NA,NA,NA
"GRK5","GRK5","ENSG00000198873","G protein-coupled receptor kinase 5","G protein-coupled receptor kinase family","Y","N","N","HGNC:4544","GRK5",NA,NA,NA,NA,NA,NA,NA
"GRK6","GRK6","ENSG00000198055","G protein-coupled receptor kinase 6","G protein-coupled receptor kinase family","Y","N","N","HGNC:4545","GRK6",NA,NA,NA,NA,NA,NA,NA
"GRK7","GRK7","ENSG00000114124","G protein-coupled receptor kinase 7","G protein-coupled receptor kinase family","Y","N","N","HGNC:17031","GRK7",NA,NA,NA,NA,NA,NA,NA
"GSK3A","GSK3A","ENSG00000105723","glycogen synthase kinase 3 alpha","Glycogen synthase kinase 3 family","Y","N","N","HGNC:4616","GSK3A","CMGC","GSK",NA,NA,NA,NA,NA
"GSK3B","GSK3B","ENSG00000082701","glycogen synthase kinase 3 beta","Glycogen synthase kinase 3 family","Y","N","Y","HGNC:4617","GSK3B","CMGC","GSK",NA,NA,NA,NA,NA
"GUCY2C","GUCY2C","ENSG00000070019","guanylate cyclase 2C",NA,"N","Y","N","HGNC:4688","GUCY2C",NA,NA,NA,NA,NA,NA,NA
"GUCY2D","GUCY2D","ENSG00000132518","guanylate cyclase 2D, retinal",NA,"N","Y","N","HGNC:4689","GUCY2D",NA,NA,NA,NA,NA,NA,NA
"GUCY2F","GUCY2F","ENSG00000101890","guanylate cyclase 2F, retinal",NA,"N","Y","N","HGNC:4691","GUCY2F",NA,NA,NA,NA,NA,NA,NA
"GUK1","GUK1","ENSG00000143774","guanylate kinase 1",NA,"N","Y","N","HGNC:4693","GUK1",NA,NA,NA,NA,NA,NA,NA
"HASPIN","HASPIN","ENSG00000177602","histone H3 associated protein kinase",NA,"N","N","N","HGNC:19682","HASPIN","Other","Haspin",NA,NA,NA,NA,NA
"HCK","HCK","ENSG00000101336","HCK proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:4840","HCK","TK","Src",NA,NA,NA,NA,NA
"HGS","HGS","ENSG00000185359","hepatocyte growth factor-regulated tyrosine kinase substrate",NA,"N","N","N","HGNC:4897","HGS",NA,NA,NA,NA,NA,NA,NA
"HIPK1","HIPK1","ENSG00000163349","homeodomain interacting protein kinase 1","Homeodomain interacting protein kinase family","Y","N","N","HGNC:19006","HIPK1","CMGC","DYRK","HIPK",NA,NA,NA,NA
"HIPK2","HIPK2","ENSG00000064393","homeodomain interacting protein kinase 2","Homeodomain interacting protein kinase family","Y","N","N","HGNC:14402","HIPK2","CMGC","DYRK","HIPK",NA,NA,NA,NA
"HIPK3","HIPK3","ENSG00000110422","homeodomain interacting protein kinase 3","Homeodomain interacting protein kinase family","Y","N","N","HGNC:4915","HIPK3","CMGC","DYRK","HIPK",NA,NA,NA,NA
"HIPK4","HIPK4","ENSG00000160396","homeodomain interacting protein kinase 4","Homeodomain interacting protein kinase family","Y","N","N","HGNC:19007","HIPK4","CMGC","DYRK","HIPK",NA,NA,NA,NA
"HK1","HK1","ENSG00000156515","hexokinase 1","Hexokinase family","Y","Y","N","HGNC:4922","HK1",NA,NA,NA,NA,NA,NA,NA
"HK2","HK2","ENSG00000159399","hexokinase 2","Hexokinase family","Y","Y","N","HGNC:4923","HK2",NA,NA,NA,NA,NA,NA,NA
"HK3","HK3","ENSG00000160883","hexokinase 3","Hexokinase family","Y","Y","N","HGNC:4925","HK3",NA,NA,NA,NA,NA,NA,NA
"HKDC1","HKDC1","ENSG00000156510","hexokinase domain containing 1","Hexokinase family","Y","Y","N","HGNC:23302","HKDC1",NA,NA,NA,NA,NA,NA,NA
"HTATIP2","HTATIP2","ENSG00000109854","HIV-1 Tat interactive protein 2",NA,"N","N","N","HGNC:16637","HTATIP2",NA,NA,NA,NA,NA,NA,NA
"HUNK","HUNK","ENSG00000142149","hormonally up-regulated Neu-associated kinase","HUNK family kinases","Y","N","N","HGNC:13326","HUNK","CAMK","CAMKL","HUNK",NA,NA,NA,NA
"HYKK","HYKK","ENSG00000188266","hydroxylysine kinase",NA,"N","N","N","HGNC:34403","HYKK",NA,NA,NA,NA,NA,NA,NA
"IDNK","IDNK","ENSG00000148057","IDNK gluconokinase",NA,"N","N","N","HGNC:31367","IDNK",NA,NA,NA,NA,NA,NA,NA
"IGF1R","IGF1R","ENSG00000140443","insulin like growth factor 1 receptor",NA,"N","N","N","HGNC:5465","IGF1R","TK","InsR",NA,NA,NA,NA,NA
"IKBKB","IKBKB","ENSG00000104365","inhibitor of nuclear factor kappa B kinase subunit beta","I kappa B kinases","Y","N","Y","HGNC:5960","IKBKB",NA,NA,NA,NA,NA,NA,NA
"IKBKE","IKBKE","ENSG00000263528","inhibitor of nuclear factor kappa B kinase subunit epsilon","I kappa B kinases","Y","N","Y","HGNC:14552","IKBKE",NA,NA,NA,NA,NA,NA,NA
"IKBKG","IKBKG","ENSG00000269335","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma",NA,"N","N","Y","HGNC:5961","IKBKG",NA,NA,NA,NA,NA,NA,NA
"ILK","ILK","ENSG00000166333","integrin linked kinase",NA,"N","N","N","HGNC:6040","ILK","TKL","MLK","ILK",NA,NA,NA,NA
"ILKAP","ILKAP","ENSG00000132323","ILK associated serine/threonine phosphatase",NA,"N","N","N","HGNC:15566","ILKAP","TKL","MLK","ILK",NA,NA,NA,NA
"INSR","INSR","ENSG00000171105","insulin receptor",NA,"N","N","N","HGNC:6091","INSR","TK","InsR",NA,NA,NA,NA,NA
"INSRR","INSRR","ENSG00000027644","insulin receptor related receptor",NA,"N","N","N","HGNC:6093","INSRR","TK","InsR",NA,NA,NA,NA,NA
"IP6K1","IP6K1","ENSG00000176095","inositol hexakisphosphate kinase 1",NA,"N","Y","N","HGNC:18360","IP6K1",NA,NA,NA,NA,NA,NA,NA
"IP6K2","IP6K2","ENSG00000068745","inositol hexakisphosphate kinase 2",NA,"N","Y","N","HGNC:17313","IP6K2",NA,NA,NA,NA,NA,NA,NA
"IP6K3","IP6K3","ENSG00000161896","inositol hexakisphosphate kinase 3",NA,"N","Y","N","HGNC:17269","IP6K3",NA,NA,NA,NA,NA,NA,NA
"IPMK","IPMK","ENSG00000151151","inositol polyphosphate multikinase",NA,"N","Y","N","HGNC:20739","IPMK",NA,NA,NA,NA,NA,NA,NA
"IPPK","IPPK","ENSG00000127080","inositol-pentakisphosphate 2-kinase",NA,"N","Y","N","HGNC:14645","IPPK",NA,NA,NA,NA,NA,NA,NA
"IRAK1","IRAK1","ENSG00000184216","interleukin 1 receptor associated kinase 1",NA,"N","N","Y","HGNC:6112","IRAK1","TKL","IRAK",NA,NA,NA,NA,NA
"IRAK2","IRAK2","ENSG00000134070","interleukin 1 receptor associated kinase 2",NA,"N","N","N","HGNC:6113","IRAK2","TKL","IRAK",NA,NA,NA,NA,NA
"IRAK3","IRAK3","ENSG00000090376","interleukin 1 receptor associated kinase 3",NA,"N","N","N","HGNC:17020","IRAK3","TKL","IRAK",NA,NA,NA,NA,NA
"IRAK4","IRAK4","ENSG00000198001","interleukin 1 receptor associated kinase 4",NA,"N","N","Y","HGNC:17967","IRAK4","TKL","IRAK",NA,NA,NA,NA,NA
"ITK","ITK","ENSG00000113263","IL2 inducible T cell kinase","Tec family tyrosine kinases","Y","N","N","HGNC:6171","ITK","TK","Tec",NA,NA,NA,NA,NA
"ITPK1","ITPK1","ENSG00000100605","inositol-tetrakisphosphate 1-kinase",NA,"N","Y","N","HGNC:6177","ITPK1",NA,NA,NA,NA,NA,NA,NA
"ITPKA","ITPKA","ENSG00000137825","inositol-trisphosphate 3-kinase A",NA,"N","Y","N","HGNC:6178","ITPKA",NA,NA,NA,NA,NA,NA,NA
"ITPKB","ITPKB","ENSG00000143772","inositol-trisphosphate 3-kinase B",NA,"N","Y","N","HGNC:6179","ITPKB",NA,NA,NA,NA,NA,NA,NA
"ITPKC","ITPKC","ENSG00000086544","inositol-trisphosphate 3-kinase C",NA,"N","Y","N","HGNC:14897","ITPKC",NA,NA,NA,NA,NA,NA,NA
"JAK1","JAK1","ENSG00000162434","Janus kinase 1","Jak family tyrosine kinases","Y","N","N","HGNC:6190","JAK1","TK","JakA",NA,NA,NA,NA,NA
"JAK2","JAK2","ENSG00000096968","Janus kinase 2","Jak family tyrosine kinases","Y","N","Y","HGNC:6192","JAK2","TK","JakA",NA,NA,NA,NA,NA
