HGNC_symbol,HGNC_ID,Ensembl_ID,Ensembl_ID_status,Name_hgnc,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,DBD_lambert,TF_assessment_lambert,InLambert,GO_TF_biomart,InGO_TF,JASPAR_matrix_ids,InJASPAR,Mouse_Symbol,Ensembl_Mouse
HOXD10,,ENSG00000128710,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005829;GO:0005654;GO:0005515;GO:0000978;GO:0006357;GO:1990837;GO:0036464;GO:0000785;GO:0017053;GO:0045786;GO:0001501;GO:0007338;GO:0007519;GO:0008344;GO:0009952;GO:0009954;GO:0010468;GO:0021520;GO:0030326;GO:0035136;GO:0035137;GO:0045944;GO:0048704;GO:0048935;GO:0050905;GO:0000977;GO:0001228;GO:0003682;GO:0003700,Y,MA1506.1;MA1506.2,Y,Hoxd10,ENSMUSG00000050368
HOXD11,,ENSG00000128713,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005654;GO:0000978;GO:0006357;GO:0001658;GO:0000785;GO:1990837;GO:0060272;GO:0009953,Y,MA0908.1;MA0908.2,Y,Hoxd11,ENSMUSG00000042499
HOXD12,,ENSG00000170178,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005515;GO:0006357;GO:0000785;GO:1990837;GO:0001501;GO:0007389;GO:0042733;GO:0005667,Y,MA0873.1;MA0873.2;MA1958.1;MA1958.2,Y,Hoxd12,ENSMUSG00000001823
HOXD13,,ENSG00000128714,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005654;GO:0001228;GO:0045944;GO:0000978;GO:0006357;GO:0003700;GO:0000785;GO:1990837;GO:0001501;GO:0006366;GO:0007389;GO:0009952;GO:0022612;GO:0030326;GO:0030539;GO:0035108;GO:0042127;GO:0042733;GO:0060527;GO:0060571;GO:0060602;GO:0060687;GO:0000987;GO:0003682;GO:0030850;GO:0033574;GO:0048619,Y,MA0909.1;MA0909.2,Y,Hoxd13,ENSMUSG00000001819
HOXD3,,ENSG00000128652,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0000981;GO:0005634;GO:0005654;GO:0005515;GO:0016604;GO:0007219;GO:0000978;GO:0006357;GO:0010628;GO:0016235;GO:0006351;GO:0051216;GO:0000785;GO:0007160;GO:1990837;GO:0009952;GO:0001228;GO:0045944;GO:0030878;GO:0000977;GO:0048704;GO:0045666;GO:0021615,Y,MA0912.2,Y,Hoxd3,ENSMUSG00000079277
HOXD4,,ENSG00000170166,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0003700;GO:0000981;GO:0005654;GO:0005515;GO:0030054;GO:0000978;GO:0000785;GO:1990837;GO:0045944;GO:0009952;GO:0001228;GO:0048568;GO:0000977;GO:0048704;GO:0048863,Y,MA1507.1;MA1507.2,Y,Hoxd4,ENSMUSG00000101174
HOXD8,,ENSG00000175879,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0000981;GO:0005634;GO:0006357;GO:0005515;GO:0000977;GO:0000785;GO:1990837;GO:0001228;GO:0045944;GO:0008595;GO:0000122;GO:0009952;GO:0048705,Y,MA0910.2;MA0910.3,Y,Hoxd8,ENSMUSG00000027102
HOXD9,,ENSG00000128709,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0006351;GO:0000981;GO:0005654;GO:0005730;GO:0000978;GO:0006357;GO:1990837;GO:0000785;GO:0001227;GO:0000122;GO:0003700;GO:0009952;GO:0000977;GO:0048704;GO:0009954;GO:0007338;GO:0007519;GO:0008344;GO:0010468;GO:0030879;GO:0035115;GO:0035136;GO:0035137;GO:0045944;GO:0048706;GO:0048935,Y,MA0913.2;MA0913.3,Y,Hoxd9,ENSMUSG00000043342
HSF1,,ENSG00000185122,lambert,,Lambert TF Census (not in HGNC groups),,,,HSF,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005829;GO:0005654;GO:0000981;GO:0000978;GO:0006357;GO:0051028;GO:0006397;GO:0005737;GO:0016605;GO:0005856;GO:0005515;GO:0005694;GO:0006281;GO:0006974;GO:0048471;GO:0042802;GO:0000776;GO:1990904;GO:0000775;GO:0005813;GO:0000122;GO:0001228;GO:0045944;GO:0046982;GO:0000922;GO:0051879;GO:0019901;GO:0031072;GO:0000785;GO:0000165;GO:1900034;GO:0031490;GO:0097431;GO:0001227;GO:1990837;GO:0065003;GO:0045931;GO:0034605;GO:0097165;GO:0120162;GO:1903936;GO:0140296;GO:0071276;GO:0000976;GO:0071480;GO:0071280;GO:2001033;GO:0001162;GO:0061770;GO:0031333;GO:0034620;GO:0045651;GO:0072738;GO:0101031;GO:0008283;GO:0050673;GO:0001701;GO:0001892;GO:0007143;GO:0007283;GO:0009408;GO:0032496;GO:0032720;GO:0040018;GO:0050680;GO:0060136;GO:0003682;GO:0097677;GO:0098847;GO:1990841;GO:0006952;GO:0007584;GO:0010628;GO:0010629;GO:0010667;GO:0014823;GO:0032355;GO:0033574;GO:0035865;GO:0043200;GO:0062029;GO:0070301;GO:0071222;GO:0071230;GO:0071392;GO:0071466;GO:0071478;GO:0090084;GO:0090261;GO:1901652;GO:1902512;GO:1904385;GO:1904843;GO:1904845;GO:1990910;GO:1990911;GO:2001235;GO:0000791;GO:0000792;GO:0045120;GO:0032991,Y,MA0486.1;MA0486.2,Y,Hsf1,ENSMUSG00000022556
HSF2,,ENSG00000025156,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0005654;GO:0005515;GO:0000981;GO:0000978;GO:0000785;GO:1990837;GO:0001228;GO:0000977;GO:0045944;GO:0001162;GO:0007283;GO:0042802,Y,MA0770.1,Y,Hsf2,ENSMUSG00000019878
HSF4,,ENSG00000102878,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Known motif,Y,GO:0005634;GO:0003677;GO:0006355;GO:0000981;GO:0003700;GO:0043565;GO:0000978;GO:0006357;GO:0016607;GO:0000785;GO:0019903;GO:1990837;GO:0000122;GO:0070306;GO:0042802;GO:0045892;GO:0005515,Y,MA0771.1,Y,Hsf4,ENSMUSG00000033249
HSF5,,ENSG00000176160,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Known motif,Y,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0003677;GO:0045893;GO:0005694;GO:0030154;GO:0007283;GO:0051321;GO:0045892;GO:1990837;GO:0001216;GO:0001217;GO:0007140;GO:0001741,Y,MA2676.1,Y,Hsf5,ENSMUSG00000070345
HSFX1,,ENSG00000171116,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Likely to be sequence specific TF,Y,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0003677;GO:0005515;GO:0006357;GO:0000981;GO:0000785,Y,,N,,
HSFX2,,ENSG00000268738,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Likely to be sequence specific TF,Y,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0003677;GO:0005515;GO:0006357;GO:0000981;GO:0000785,Y,,N,,
HSFX3,,ENSG00000283697,biomart,,BioMart GO:0003700 (not in HGNC groups),,,,,,,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0003677;GO:0006357;GO:0000981;GO:0000785,Y,,N,,
HSFX4,,ENSG00000283463,biomart,,BioMart GO:0003700 (not in HGNC groups),,,,,,,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0003677,Y,,N,,
HSFY1,,ENSG00000172468,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Known motif,Y,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0003677;GO:0005515;GO:0006357;GO:0000981;GO:0000785;GO:1990837,Y,,N,Hsfy2,ENSMUSG00000045336
HSFY2,,ENSG00000169953,confirmed,,Lambert TF Census (not in HGNC groups),,,,HSF,Known motif,Y,GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0003677;GO:0005515;GO:0006357;GO:0000981;GO:0000785;GO:1990837,Y,,N,Hsfy2,ENSMUSG00000045336
Hand1,,ENSG00000113196,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA2123.1;MA0092.1;MA0092.2,Y,,
Hes1,,ENSG00000114315,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA1099.1,Y,,
Hes2,,ENSG00000069812,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0616.1,Y,,
Hic1,,ENSG00000177374,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0739.1;MA0739.2,Y,,
Hmga1,,ENSG00000137309,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA2124.1,Y,,
Hmx1,,ENSG00000215612,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0896.1;MA0896.2,Y,,
Hmx2,,ENSG00000188816,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0897.1;MA0897.2,Y,,
Hmx3,,ENSG00000188620,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0898.1;MA0898.2,Y,,
Hnf1A,,ENSG00000135100,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA1991.1;MA1991.2,Y,,
Hnf4a,,ENSG00000101076,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0114.3,Y,,
Hoxa11,,ENSG00000005073,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0911.1;MA0911.2,Y,,
Hoxa13,,ENSG00000106031,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0650.3;MA0650.4,Y,,
Hoxa9,,ENSG00000078399,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0594.1,Y,,
Hoxb5,,ENSG00000120075,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0904.1,Y,,
Hoxc9,,ENSG00000180806,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0485.1,Y,,
Hoxd13,,ENSG00000128714,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0909.3;MA0909.4,Y,,
Hoxd3,,ENSG00000128652,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0912.1,Y,,
Hoxd8,,ENSG00000175879,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0910.1,Y,,
Hoxd9,,ENSG00000128709,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0913.1,Y,,
ID1,HGNC:5360,ENSG00000125968,hgnc,inhibitor of DNA binding 1,Basic helix-loop-helix proteins,420,Approved,gene with protein product,,,N,,N,,N,Id1,ENSMUSG00000042745
ID2,HGNC:5361,ENSG00000115738,hgnc,inhibitor of DNA binding 2,Basic helix-loop-helix proteins,420,Approved,gene with protein product,,,N,,N,,N,Id2,ENSMUSG00000020644
ID3,HGNC:5362,ENSG00000117318,hgnc,inhibitor of DNA binding 3,Basic helix-loop-helix proteins,420,Approved,gene with protein product,,,N,,N,,N,Id3,ENSMUSG00000007872
ID4,HGNC:5363,ENSG00000172201,hgnc,inhibitor of DNA binding 4,Basic helix-loop-helix proteins,420,Approved,gene with protein product,,,N,,N,,N,Id4,ENSMUSG00000021379
IKZF1,,ENSG00000185811,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Known motif,Y,GO:0005634;GO:0003700;GO:0008270;GO:0006355;GO:0005737;GO:0005829;GO:0005654;GO:0046872;GO:0003677;GO:0005515;GO:0006325;GO:0000978;GO:0006357;GO:0045892;GO:0030218;GO:0007498;GO:0030098;GO:0032991;GO:0019904;GO:0005721;GO:0042802,Y,MA1508.1;MA1508.2,Y,Ikzf1,ENSMUSG00000018654
IKZF2,,ENSG00000030419,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Known motif,Y,GO:0005634;GO:0003700;GO:0008270;GO:0006355;GO:0046872;GO:0003677;GO:0005515;GO:0042802;GO:0007605;GO:0045944;GO:0000978;GO:0006357,Y,MA2326.1,Y,Ikzf2,ENSMUSG00000025997
IKZF3,,ENSG00000161405,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Known motif,Y,GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0046872;GO:0003677;GO:0005515;GO:0008270;GO:0042803;GO:0042981;GO:0001228;GO:0042802;GO:0000978;GO:0043565;GO:0006357;GO:0046982;GO:0042826;GO:0042113;GO:1990841;GO:0007498;GO:0003700;GO:0045577;GO:0030888;GO:0045619;GO:0009617;GO:0000977;GO:0030183;GO:0030217;GO:0045944,Y,,N,Ikzf3,ENSMUSG00000018168
IKZF4,,ENSG00000123411,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Inferred motif,Y,GO:0005634;GO:0005654;GO:0046872;GO:0003677;GO:0005515;GO:0008270;GO:0016604;GO:0000978;GO:0006357;GO:0045892;GO:0006355;GO:0003700;GO:0032991;GO:0019904;GO:0051260;GO:0045944;GO:0043425;GO:0043565,Y,,N,Ikzf4,ENSMUSG00000002578
IKZF5,,ENSG00000095574,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Inferred motif,Y,GO:0005634;GO:0046872;GO:0003677;GO:0005515;GO:0008270;GO:0000978;GO:0006357;GO:0003682;GO:0001227;GO:0000122;GO:0003700;GO:0032991;GO:0019904;GO:0000977,Y,,N,Ikzf5,ENSMUSG00000040167
INSM1,,ENSG00000173404,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Known motif,Y,GO:0003700;GO:0005634;GO:0007399;GO:0008285;GO:0051726;GO:0046872;GO:0003677;GO:0008270;GO:0010468;GO:0030154;GO:0042127;GO:0000122;GO:0000978;GO:0045597;GO:0042826;GO:0005654;GO:0030332;GO:0017053;GO:0031490;GO:2000179;GO:0001227;GO:0043254;GO:0030182;GO:0001933;GO:0060090;GO:0042421;GO:0060290;GO:0061549;GO:0003358;GO:0003309;GO:0008283;GO:0016477;GO:0003323;GO:0008284;GO:0030335;GO:0031018;GO:0035270;GO:0003310;GO:0010564;GO:0061104,Y,MA0155.1,Y,Insm1,ENSMUSG00000068154
INSM2,,ENSG00000168348,confirmed,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,GO:0003700;GO:0005634;GO:0005737;GO:0046872;GO:0003677;GO:0008270;GO:0030154;GO:0000978;GO:0000122;GO:0030182;GO:0001227;GO:0010564;GO:0017053,Y,,N,Insm2,ENSMUSG00000045440
IRF1,,ENSG00000125347,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0003700;GO:0000976;GO:0005634;GO:0005737;GO:0006915;GO:0008285;GO:0051726;GO:0003677;GO:0005515;GO:0051607;GO:0000981;GO:0002376;GO:0045087;GO:0045893;GO:0032481;GO:0045944;GO:0000978;GO:0006357;GO:0045892;GO:0000785;GO:0005654;GO:0032728;GO:0060333;GO:0005829;GO:0001228;GO:0071260;GO:0045088;GO:0000977;GO:0035458;GO:0006366;GO:0010468;GO:0032735;GO:0043374;GO:0043565;GO:0002819;GO:0034124;GO:0045590;GO:2000564,Y,MA0050.1;MA0050.2,Y,Irf1,ENSMUSG00000018899
IRF2,,ENSG00000168310,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0003700;GO:0000976;GO:0005634;GO:0005829;GO:0005654;GO:0005925;GO:0003677;GO:0005515;GO:0051607;GO:0045944;GO:0000978;GO:0000981;GO:0006357;GO:0000785;GO:1990837;GO:0001228;GO:0000977;GO:0000122;GO:0002376;GO:0008283,Y,MA0051.1;MA0051.2,Y,Irf2,ENSMUSG00000031627
IRF3,,ENSG00000126456,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0005515;GO:0005737;GO:0005634;GO:0006915;GO:0005829;GO:0005739;GO:0003677;GO:0045893;GO:0051607;GO:0006355;GO:0000981;GO:0003700;GO:0006974;GO:0002376;GO:0045087;GO:0042802;GO:0042803;GO:0042981;GO:0032481;GO:0007166;GO:0000976;GO:0012501;GO:0045944;GO:0000978;GO:0043565;GO:0000122;GO:0006357;GO:0000785;GO:0005654;GO:0032728;GO:0045089;GO:0140374;GO:0098586;GO:0032727;GO:1990837;GO:0001228;GO:0002753;GO:0034142;GO:0019904;GO:0001216;GO:0009299;GO:0023019;GO:0035666;GO:0039530;GO:0071888;GO:0140896;GO:1900017;GO:0009617;GO:0010468;GO:0031663;GO:0032496;GO:0043330;GO:0050727;GO:0060340;GO:0071222;GO:0097300;GO:0001227;GO:1990841;GO:0001819;GO:0043123;GO:0060337;GO:0071360,Y,MA1418.1;MA1418.2,Y,Irf3,ENSMUSG00000003184
IRF4,,ENSG00000137265,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0005515;GO:0003700;GO:0000976;GO:0005634;GO:0005737;GO:0016020;GO:0005829;GO:0005654;GO:0003677;GO:0051240;GO:0045893;GO:0000978;GO:0001228;GO:0045944;GO:0000981;GO:0043565;GO:0006357;GO:0042110;GO:0000785;GO:1990837;GO:0032733;GO:0032736;GO:0032753;GO:0120162;GO:0072540;GO:0002376;GO:0032743;GO:0045622;GO:0042832;GO:0006338;GO:0034122;GO:0043011;GO:0000987;GO:0003713;GO:0000786,Y,MA1419.1;MA1419.2,Y,Irf4,ENSMUSG00000021356
IRF5,,ENSG00000128604,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0005515;GO:0003700;GO:0000976;GO:0005737;GO:0005634;GO:0003677;GO:0051607;GO:0000981;GO:0002376;GO:0045087;GO:0032481;GO:0045944;GO:0042802;GO:0000978;GO:0006357;GO:0006954;GO:0019901;GO:0019221;GO:0000785;GO:0005654;GO:1990837;GO:0005829;GO:0001228;GO:0043565;GO:0032727;GO:0032728;GO:0032735;GO:0043065;GO:0120283;GO:0098586;GO:0002720;GO:0070431;GO:0071224;GO:0071225,Y,MA1420.1,Y,Irf5,ENSMUSG00000029771
IRF6,,ENSG00000117595,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0005515;GO:0003700;GO:0000976;GO:0005634;GO:0005737;GO:0008285;GO:0003677;GO:0030154;GO:0070062;GO:0045893;GO:0045944;GO:0000978;GO:0000981;GO:0006357;GO:0000785;GO:1990837;GO:0005829;GO:0043565;GO:0008283;GO:0072089;GO:0008544;GO:0010839;GO:0030216;GO:0043588;GO:0043616;GO:0048468;GO:0060021;GO:0060173;GO:1904888;GO:2000647;GO:0001228;GO:0060644;GO:0002376,Y,MA1509.1,Y,Irf6,ENSMUSG00000026638
IRF7,,ENSG00000185507,lambert,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0005515;GO:0003700;GO:0000976;GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0003677;GO:0007165;GO:0051607;GO:0000981;GO:0006974;GO:0002376;GO:0045087;GO:0045893;GO:0050776;GO:0032481;GO:0000978;GO:0045944;GO:0006357;GO:0000785;GO:0009615;GO:0032728;GO:0045089;GO:0000987;GO:0032727;GO:1990837;GO:0010008;GO:0002753;GO:0000122;GO:0032479;GO:0002819;GO:0034124;GO:0039530;GO:0019043;GO:0034127;GO:0045655;GO:2000110;GO:0010468;GO:0016064;GO:0060340;GO:0060337,Y,MA0772.1;MA0772.2,Y,Irf7,ENSMUSG00000025498
IRF8,,ENSG00000140968,confirmed,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0005515;GO:0003700;GO:0000976;GO:0005634;GO:0005737;GO:0005654;GO:0003677;GO:0006914;GO:0000122;GO:0006955;GO:0000978;GO:0045944;GO:0000981;GO:0006357;GO:0098542;GO:0000785;GO:0001227;GO:1990837;GO:0005829;GO:0071346;GO:0002376;GO:0097028;GO:0032479;GO:0006909;GO:0009617;GO:0030099;GO:0032729;GO:0032735;GO:0042742;GO:0042832;GO:0045893;GO:0071222;GO:0000977;GO:0002273;GO:0002314;GO:0002316;GO:0043065,Y,MA0652.1;MA0652.2,Y,Irf8,ENSMUSG00000041515
IRF9,,ENSG00000213928,lambert,,Lambert TF Census (not in HGNC groups),,,,IRF,Known motif,Y,GO:0006355;GO:0005515;GO:0003700;GO:0000976;GO:0005634;GO:0005737;GO:0005829;GO:0003677;GO:0051607;GO:0000978;GO:0045944;GO:0000981;GO:0006357;GO:0000785;GO:0005654;GO:1990837;GO:0007166;GO:0006366;GO:0002376;GO:0070721;GO:0045893,Y,MA0653.1,Y,Irf9,ENSMUSG00000002325
IRX1,,ENSG00000170549,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0000981;GO:0000978;GO:0006357;GO:0000785;GO:0001227;GO:1990837;GO:0000122;GO:0043565;GO:0030182;GO:0048468;GO:0001656;GO:0010628;GO:0072086;GO:0072272,Y,MA2678.1,Y,Irx1,ENSMUSG00000060969
IRX2,,ENSG00000170561,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0000981;GO:0005515;GO:0000978;GO:0006357;GO:0000785;GO:0001227;GO:0000122;GO:0043565;GO:0030182;GO:0048468;GO:0001656;GO:0072086;GO:0072272,Y,MA2679.1,Y,Irx2,ENSMUSG00000001504
IRX3,,ENSG00000177508,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0000981;GO:0000978;GO:0006357;GO:0000785;GO:0097009;GO:1990837;GO:0001228;GO:0030182;GO:0045944;GO:0000122;GO:0001227;GO:0048468;GO:1903598;GO:1901844;GO:0007498;GO:0045665;GO:0045666;GO:0001656;GO:0003165;GO:0003167;GO:0060932;GO:0072047;GO:0072086;GO:0005737;GO:0030424,Y,,N,Irx3,ENSMUSG00000031734
IRX4,,ENSG00000113430,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0000981;GO:0005515;GO:0045944;GO:0000978;GO:0006357;GO:0000785;GO:0001228;GO:0030182;GO:0045893;GO:0048468;GO:0007507;GO:0000122;GO:0048561,Y,,N,Irx4,ENSMUSG00000021604
IRX5,,ENSG00000176842,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0000981;GO:0000978;GO:0006357;GO:0007601;GO:0008406;GO:0000785;GO:1990837;GO:0030182;GO:0005499;GO:0048468;GO:0048701;GO:0002027;GO:0010468;GO:0042551;GO:0060040;GO:0042802;GO:0140297,Y,MA2680.1,Y,Irx5,ENSMUSG00000031737
IRX6,,ENSG00000159387,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Inferred motif,Y,GO:0003677;GO:0006355;GO:0005634;GO:0000981;GO:0005515;GO:0045944;GO:0000978;GO:0006357;GO:0000785;GO:0001228;GO:0030182;GO:0045893;GO:0048468,Y,,N,Irx6,ENSMUSG00000031738
ISL1,HGNC:6132,ENSG00000016082,confirmed,ISL LIM homeobox 1,LIM class homeoboxes,522,Approved,gene with protein product,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0045944;GO:0048665;GO:0005737;GO:0005634;GO:0046872;GO:0005515;GO:0030154;GO:0043565;GO:0007507;GO:0045597;GO:0000785;GO:1990841;GO:1990837;GO:0007409;GO:0000978;GO:0001228;GO:0060037;GO:0032729;GO:0032735;GO:0032755;GO:0032760;GO:0043425;GO:0032024;GO:0000122;GO:0061629;GO:0045766;GO:0000987;GO:0016922;GO:0003151;GO:0003148;GO:0055010;GO:0060931;GO:0003203;GO:0050728;GO:0086091;GO:0043524;GO:0003139;GO:0003215;GO:0010575;GO:0032725;GO:0071385;GO:0032731;GO:0031333;GO:0030331;GO:0060413;GO:0006366;GO:0008283;GO:0060070;GO:0001755;GO:0003007;GO:0003266;GO:0008284;GO:0010468;GO:0021520;GO:0021522;GO:0021524;GO:0021983;GO:0030182;GO:0031016;GO:0031290;GO:0045665;GO:0048663;GO:0048762;GO:0048863;GO:0048935;GO:0060379;GO:0060913;GO:0090090;GO:0000976;GO:0001046;GO:0003682;GO:0030274;GO:0010718;GO:0021559;GO:0031103;GO:0032730;GO:0033147;GO:0045880;GO:0048880;GO:0048936;GO:0050680;GO:0060384;GO:0071560;GO:0071657;GO:0072201;GO:0090280;GO:1901258;GO:2000676;GO:0005667,Y,,N,Isl1,ENSMUSG00000042258
ISL2,HGNC:18524,ENSG00000159556,confirmed,ISL LIM homeobox 2,LIM class homeoboxes,522,Approved,gene with protein product,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0045944;GO:0048665;GO:0005634;GO:0046872;GO:0005515;GO:0043565;GO:0000785;GO:0048666;GO:1990837;GO:0007409;GO:0000987;GO:0048935;GO:0030182;GO:0021520;GO:0021524;GO:0031290;GO:0045665;GO:0048663;GO:0030154,Y,MA0914.1;MA0914.2,Y,Isl2,ENSMUSG00000032318
ISX,,ENSG00000175329,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0006355;GO:0000981;GO:0005634;GO:0005515;GO:0006357;GO:1990837;GO:0000977;GO:0000785;GO:0048666,Y,MA0654.1;MA0654.2,Y,Isx,ENSMUSG00000031621
Ikzf3,,ENSG00000161405,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA1992.1;MA1992.2,Y,,
Irf1,,ENSG00000125347,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA0050.3;MA0050.4,Y,,
Isl1,,ENSG00000016082,hgnc,,JASPAR 2020 (not in other sources),,,,,,N,,N,MA1608.1;MA1608.2,Y,,
JAZF1,,ENSG00000153814,lambert,,Lambert TF Census (not in HGNC groups),,,,C2H2 ZF,Likely to be sequence specific TF,Y,,N,,N,Jazf1,ENSMUSG00000063568
JDP2,HGNC:17546,ENSG00000140044,confirmed,Jun dimerization protein 2,Basic leucine zipper proteins,506,Approved,gene with protein product,bZIP,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0006357;GO:0005634;GO:0005515;GO:0000978;GO:0000981;GO:1990837;GO:0000785;GO:0001227;GO:0000122;GO:0090575;GO:0045444;GO:0006338;GO:0045599;GO:0003682;GO:0035497;GO:0042803;GO:0042826;GO:0043522;GO:0046982;GO:0140713,Y,MA0655.1;MA0656.1;MA0656.2,Y,Jdp2,ENSMUSG00000034271
JRK,,ENSG00000234616,lambert,,Lambert TF Census (not in HGNC groups),,,,CENPB,Likely to be sequence specific TF,Y,,N,,N,Jrk,ENSMUSG00000046380
JRKL,,ENSG00000183340,lambert,,Lambert TF Census (not in HGNC groups),,,,CENPB,Inferred motif,Y,,N,,N,Jrkl,ENSMUSG00000079083
